filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
289.txt,163,90,71,53,92,37,0.5888888888888889,0.43558282208588955,0.5521472392638037,0.7464788732394366,0.40217391304347827,7.049344049891617,6.289942788427422,3.8575166600558837,0.8833981826626625,0.9314074779426933,0.7985596520306002,0.05270882862972839,0.03705183671677553,0.10257745015238535,0.701228070175439,0.7781818181818182,0.4818604651162793,0.7266666666666666,0.8,0.5,0.7458577909921197,0.8001881711180413,0.5345992484012843,45.555471909288954,78.41555555555556,14.794268499228105,40.249859530832985,11.5,15.051282051282051,45.65030674846626,69.98550724637681,15.358695652173912
262.txt,184,91,71,54,113,37,0.5934065934065934,0.3858695652173913,0.4945652173913043,0.7605633802816901,0.3274336283185841,6.70860900504782,6.408620954246808,3.4806672130193097,0.8649885091940328,0.9357925440399221,0.7638294235880518,0.059612516924898266,0.034683141877255776,0.11503241737380576,0.7352592592592586,0.8563636363636363,0.5093749999999999,0.7266666666666666,0.78,0.46,0.7580801861542704,0.8340971584363601,0.5453581732835696,46.752386119316014,63.90481188634982,18.0953500522466,51.29599036310446,11.125,16.692341985337826,51.26086956521739,71.07246376811594,17.876106194690266
276.txt,202,111,96,64,106,47,0.5765765765765766,0.4752475247524752,0.5495049504950495,0.6666666666666666,0.44339622641509435,7.80993274650624,6.531972647421809,4.565043553079142,0.8872066123601872,0.9111669199851793,0.8256026344530052,0.04892676627723248,0.04481378659700679,0.08610914950576895,0.7780392156862749,0.7651063829787232,0.6122807017543862,0.78,0.78,0.59,0.7970604229367049,0.7662634725382895,0.6254743031899208,63.43763599063348,58.36228287841191,24.862850082372326,65.3616777154513,47.92040816326531,22.99736696230599,64.36138613861387,52.260416666666664,24.433962264150942
29.txt,421,180,220,122,201,58,0.6777777777777778,0.5225653206650831,0.42755344418052255,0.5545454545454546,0.2885572139303483,8.772663218914428,8.225238322051553,4.0910045719798696,0.8593864617992388,0.8906846094669908,0.7656438920523007,0.05358171609061891,0.04666766225753874,0.10175256561101065,0.7750537634408602,0.7844444444444447,0.5121052631578955,0.7675000000000002,0.7650000000000001,0.5,0.8037886086146955,0.8354039222467601,0.5547629717287735,67.90797428378073,78.4151197596658,20.855884973730053,63.67656831472621,62.39001068376068,19.593083652269,61.263657957244654,62.07727272727273,19.233830845771145
15.txt,224,100,96,57,128,43,0.57,0.42857142857142855,0.44642857142857145,0.59375,0.3359375,6.681531047810609,5.817538139110049,3.8006989488776926,0.8509740182304607,0.8857894048031328,0.7751806792431568,0.06340861926358211,0.057616028166710236,0.10669051684223585,0.7305142857142859,0.7217021276595742,0.5443037974683542,0.7500000000000001,0.72,0.54,0.7458401136235372,0.7389025201215821,0.5582188981460575,53.83728115345005,45.9897563020615,20.459016393442624,45.88056552365762,35.85079575596817,18.884323640960808,49.79017857142857,41.416666666666664,20.03125
114.txt,159,79,67,44,92,35,0.5569620253164557,0.42138364779874216,0.4968553459119497,0.6567164179104478,0.3804347826086957,6.265107527173338,5.37545555167743,3.6490022459988087,0.8620103434886695,0.8999919795484091,0.7862703001053768,0.06268276404418696,0.05476666142245412,0.10883543370544303,0.7018181818181827,0.7166666666666665,0.5097674418604647,0.66,0.7,0.4,0.7359734392587535,0.7319823490544781,0.5413061027592492,39.09013944223108,36.14193343226627,17.322539172358375,40.68982614699053,39.79656862745098,16.666284184356474,42.861635220125784,43.16417910447761,18.33695652173913
100.txt,173,83,68,50,105,33,0.6024096385542169,0.3930635838150289,0.4797687861271676,0.7352941176470589,0.3142857142857143,6.310373146538556,6.063390625908324,3.2204702407301595,0.8574792492849888,0.9271278259853,0.7512972389951996,0.06368088240709914,0.039766340839828676,0.12304773289629146,0.7301612903225807,0.8252631578947368,0.4953571428571427,0.7000000000000001,0.86,0.44999999999999996,0.7248297119719278,0.8189267565913738,0.48911542016806875,41.07881526104418,71.9288888888889,16.52777347124095,46.868121693121694,0.0,17.014305347326335,45.052023121387286,67.95522388059702,17.276190476190475
128.txt,224,127,96,73,128,54,0.5748031496062992,0.42857142857142855,0.5669642857142857,0.7604166666666666,0.421875,8.485544430719475,7.4505313009655,4.772970773009195,0.8951411529950427,0.9399938964272211,0.8221267860233528,0.044616077191410794,0.03027138898684766,0.0844117181195623,0.7870857142857145,0.8459574468085107,0.5848101265822776,0.7949999999999999,0.88,0.56,0.8322334959558041,0.8873813200640576,0.6407537773327728,70.38701598480316,112.19478260869565,22.104964539007092,61.75046228249016,0.0,20.62419548380059,69.9375,102.0,24.2578125
129.txt,281,134,112,78,169,56,0.582089552238806,0.398576512455516,0.47686832740213525,0.6964285714285714,0.33136094674556216,7.993769816043374,7.370307223679931,4.3076923076923075,0.8686647235211373,0.9233251814880266,0.7846844381206292,0.05363455609652436,0.037416623152701056,0.09664565142988615,0.715775862068966,0.8028571428571427,0.5001666666666673,0.708,0.79,0.49333333333333335,0.7700925734974298,0.8502390750097167,0.5642199274366666,50.72882656686721,61.806351008923954,18.103238457184442,42.56082300215354,59.9,17.11336405529954,47.08185053380783,78.54464285714286,17.680473372781066
101.txt,171,97,69,61,102,36,0.6288659793814433,0.40350877192982454,0.5672514619883041,0.8840579710144928,0.35294117647058826,7.417775395148164,7.343537038231921,3.5645311547160277,0.8897336296377751,0.9708952431191455,0.7748194601627059,0.049380457874089255,0.015827702788370413,0.11210819505196433,0.7363934426229507,0.9249999999999996,0.5030188679245282,0.7466666666666667,0.9,0.48,0.780135547324782,0.9300937766410904,0.5353303366902349,62.589795285359806,166.63500000000008,18.975418994413406,51.39481055580127,0.0,16.412471231300344,56.10526315789474,85.0,16.65686274509804
