Filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_binary_all_sent,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_noun_sent,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_binary_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_2_noun_sent_div_seg,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_binary_argument_sent,adjacent_overlap_2_argument_sent,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_binary_2_argument_sent,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,basic_connectives,conjunctions,disjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,negative_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas
96.txt,0.53488372093,0.67975,0.441860465116,0.710144927536,0.859649122807,0.319444444444,0.393043478261,0.962962962963,0.823529411765,1.0,0.428571428571,0.111111111111,0.537037037037,0.875,0.976377952756,0.266666666667,3.5,1.0,0.354838709677,4.71428571429,1.0,0.0377358490566,0.25,0.25,0.0851063829787,0.571428571429,0.571428571429,0.461538461538,3.0,1.0,0.586956521739,3.85714285714,1.0,0.04,0.125,0.125,0.0,0.0,0.0,0.0625,0.125,0.125,0.133333333333,0.285714285714,0.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.285714285714,0.285714285714,0.75,1.5,1.0,0.928571428571,1.85714285714,1.0,0.317073170732,1.625,1.0,0.361111111111,1.85714285714,1.0,0.125,0.25,0,0,0.827924252436,0.883060622548,0,0,0.705026256892,0.786269843844,0,0,0.0852713178295,0.0697674418605,0.0077519379845,0.015503875969,0.0077519379845,0.0697674418605,0.015503875969,0.0,0.0077519379845,0.0077519379845,0.0077519379845,0.0,0.046511627907,0.0077519379845,0.0077519379845,0.0,0.077519379845,0.031007751938,0.015503875969,0.0,0.0,0.015503875969,0.093023255814,0.0077519379845,0.0852713178295,0.116279069767,0.555555555556,0.100775193798,0.217054263566
82.txt,0.707792207792,0.819428571429,0.571428571429,0.724770642202,0.897727272727,0.484848484848,0.536470588235,0.891891891892,0.809523809524,0.933333333333,1.0,0.3125,0.705882352941,0.980392156863,1.0,0.166666666667,3.0,0.875,0.222222222222,4.28571428571,1.0,0.0574712643678,0.625,0.625,0.0987654320988,1.14285714286,0.857142857143,0.327586206897,2.375,0.75,0.381818181818,3.0,0.857142857143,0.0540540540541,0.25,0.25,0.117647058824,0.571428571429,0.571428571429,0.15,0.375,0.375,0.166666666667,0.428571428571,0.428571428571,0.0,0.0,0.0,0.0666666666667,0.142857142857,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.375,0.5,0.857142857143,0.428571428571,0.170212765957,1.0,0.625,0.227272727273,1.42857142857,1.0,0.25,0.5,0.75,0.25,0.829130685991,0.927165204415,0.710528853229,0.889346756541,0.663027789245,0.772916698895,0.649621035912,0.689846022316,0.0584415584416,0.0454545454545,0.0,0.0,0.012987012987,0.0519480519481,0.012987012987,0.0,0.00649350649351,0.00649350649351,0.00649350649351,0.012987012987,0.0519480519481,0.012987012987,0.0,0.012987012987,0.0584415584416,0.0194805194805,0.00649350649351,0.012987012987,0.00649350649351,0.0,0.0649350649351,0.012987012987,0.0714285714286,0.038961038961,0.162162162162,0.0909090909091,0.116883116883
154.txt,0.5,0.761538461538,0.43119266055,0.660550458716,0.765957446809,0.33064516129,0.557866666667,0.861111111111,0.689655172414,0.777777777778,0.75,0.166666666667,0.514285714286,0.884792626728,0.958333333333,0.188888888889,3.09090909091,0.909090909091,0.33734939759,5.6,1.0,0.0666666666667,0.545454545455,0.454545454545,0.168674698795,1.4,0.7,0.279569892473,2.36363636364,0.818181818182,0.476744186047,4.1,1.0,0.0285714285714,0.0909090909091,0.0909090909091,0.121212121212,0.4,0.2,0.0357142857143,0.0909090909091,0.0909090909091,0.16,0.4,0.3,0.0625,0.0909090909091,0.0909090909091,0.214285714286,0.3,0.2,0.166666666667,0.181818181818,0.181818181818,0.166666666667,0.2,0.2,0.45,0.818181818182,0.636363636364,0.666666666667,1.2,0.8,0.188679245283,0.909090909091,0.636363636364,0.30612244898,1.5,0.9,0.181818181818,0.363636363636,0,0,0.880821033323,0.983458294922,0,0,0.757025186088,0.849402301864,0,0,0.0321100917431,0.0321100917431,0.0,0.0183486238532,0.0,0.0183486238532,0.0412844036697,0.0045871559633,0.0137614678899,0.0,0.0045871559633,0.0137614678899,0.0688073394495,0.0137614678899,0.0045871559633,0.00917431192661,0.045871559633,0.0321100917431,0.0137614678899,0.0137614678899,0.0229357798165,0.0045871559633,0.0596330275229,0.0137614678899,0.0642201834862,0.105504587156,0.638888888889,0.178899082569,0.284403669725
140.txt,0.475490196078,0.674580645161,0.612745098039,0.680412371134,0.528,0.417721518987,0.476666666667,0.483870967742,0.638888888889,0.388888888889,0.909090909091,0.5,0.485714285714,0.837438423645,0.945544554455,0.256983240223,3.28571428571,1.0,0.365853658537,4.61538461538,1.0,0.265486725664,2.14285714286,0.857142857143,0.352380952381,2.84615384615,0.923076923077,0.212121212121,1.0,0.642857142857,0.322033898305,1.46153846154,0.692307692308,0.351851851852,1.35714285714,0.857142857143,0.448979591837,1.69230769231,0.923076923077,0.0833333333333,0.214285714286,0.214285714286,0.176470588235,0.461538461538,0.384615384615,0.3125,0.357142857143,0.357142857143,0.333333333333,0.384615384615,0.384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.142857142857,0.142857142857,0.25,0.153846153846,0.153846153846,0.327868852459,1.42857142857,0.928571428571,0.418181818182,1.76923076923,0.923076923077,1.57142857143,0.357142857143,6.66666666667,2.66666666667,0.955959035092,0.987854131796,0.990704639534,0.988135482199,0.808587489093,0.885634420117,0.87460703069,0.832445176864,0.0343137254902,0.0343137254902,0.0,0.0245098039216,0.00490196078431,0.0392156862745,0.0343137254902,0.0147058823529,0.00980392156863,0.0245098039216,0.0392156862745,0.0147058823529,0.0735294117647,0.00980392156863,0.0,0.00980392156863,0.0637254901961,0.0637254901961,0.0441176470588,0.0147058823529,0.0147058823529,0.00490196078431,0.0980392156863,0.0147058823529,0.0980392156863,0.0294117647059,0.0967741935484,0.372549019608,0.397058823529
7.txt,0.592,0.717631578947,0.464,0.716216216216,0.913793103448,0.313432835821,0.342222222222,0.952380952381,0.842105263158,0.923076923077,1.0,0.2,0.575,0.903225806452,0.983739837398,0.315217391304,4.83333333333,1.0,0.294871794872,4.6,1.0,0.0612244897959,0.5,0.166666666667,0.0697674418605,0.6,0.2,0.604651162791,4.33333333333,1.0,0.571428571429,4.0,1.0,0.0555555555556,0.166666666667,0.166666666667,0.0714285714286,0.2,0.2,0.0769230769231,0.166666666667,0.166666666667,0.0909090909091,0.2,0.2,0.0769230769231,0.166666666667,0.166666666667,0.0769230769231,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.636363636364,1.16666666667,0.833333333333,0.555555555556,1.0,0.8,0.285714285714,1.33333333333,0.833333333333,0.272727272727,1.2,0.8,0.333333333333,0.333333333333,2.0,0.0,0.73645131253,0.852001412336,0.957322252069,0,0.695559874486,0.75134322861,0.597683189088,0,0.04,0.04,0.0,0.016,0.0,0.032,0.016,0.016,0.0,0.0,0.008,0.008,0.08,0.008,0.0,0.008,0.04,0.016,0.008,0.008,0.008,0.0,0.048,0.008,0.056,0.096,0.571428571429,0.08,0.168
55.txt,0.463414634146,0.691025641026,0.560975609756,0.736842105263,0.608695652174,0.311111111111,0.38,0.660377358491,0.633333333333,0.47619047619,0.769230769231,0.333333333333,0.6,0.857843137255,0.960591133005,0.242236024845,3.54545454545,1.0,0.359477124183,5.5,1.0,0.135416666667,1.18181818182,0.636363636364,0.228260869565,2.1,0.8,0.378787878788,2.27272727273,1.0,0.516129032258,3.2,1.0,0.0652173913043,0.272727272727,0.181818181818,0.181818181818,0.8,0.5,0.130434782609,0.272727272727,0.272727272727,0.190476190476,0.4,0.4,0.315789473684,0.545454545455,0.363636363636,0.473684210526,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.181818181818,0.181818181818,0.5,0.4,0.4,0.0925925925926,0.454545454545,0.272727272727,0.230769230769,1.2,0.6,0.454545454545,0.818181818182,2.5,12.0,0.765941696659,0.960543854971,0.996080789718,0.994466129309,0.736602632748,0.827600732985,0.836124012873,0.824024009072,0.0390243902439,0.0390243902439,0.0,0.00975609756098,0.00487804878049,0.0487804878049,0.0243902439024,0.0,0.0146341463415,0.0390243902439,0.0439024390244,0.00487804878049,0.126829268293,0.00487804878049,0.00487804878049,0.0,0.0487804878049,0.0292682926829,0.019512195122,0.00487804878049,0.00975609756098,0.0243902439024,0.0975609756098,0.00487804878049,0.0926829268293,0.0390243902439,0.150943396226,0.317073170732,0.351219512195
41.txt,0.50495049505,0.608461538462,0.415841584158,0.607843137255,0.738095238095,0.35593220339,0.386,0.809523809524,0.6,0.666666666667,1.0,0.136363636364,0.46511627907,0.84,0.919191919192,0.34375,5.5,1.0,0.377358490566,6.66666666667,1.0,0.147058823529,1.25,1.0,0.241379310345,2.33333333333,1.0,0.548387096774,4.25,1.0,0.52,4.33333333333,1.0,0.0555555555556,0.25,0.25,0.214285714286,1.0,0.666666666667,0.428571428571,0.75,0.75,0.333333333333,0.666666666667,0.666666666667,0.142857142857,0.25,0.25,0.285714285714,0.666666666667,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.75,0.75,1.0,1.66666666667,1.0,0.307692307692,2.0,0.75,0.421052631579,2.66666666667,1.0,0.25,0.75,0,0,0.901426760395,0.962625308371,0,0,0.764023807724,0.750676216014,0,0,0.0792079207921,0.0792079207921,0.0,0.029702970297,0.0,0.0792079207921,0.019801980198,0.00990099009901,0.00990099009901,0.00990099009901,0.019801980198,0.00990099009901,0.039603960396,0.0,0.0,0.0,0.0792079207921,0.00990099009901,0.00990099009901,0.0,0.00990099009901,0.0,0.108910891089,0.0,0.0990099009901,0.0693069306931,0.333333333333,0.19801980198,0.267326732673
197.txt,0.473684210526,0.761333333333,0.483552631579,0.743055555556,0.727891156463,0.254777070064,0.46,0.633333333333,0.720930232558,0.875,0.857142857143,0.117647058824,0.396396396396,0.90099009901,0.990066225166,0.231075697211,3.86666666667,0.933333333333,0.320346320346,5.28571428571,1.0,0.0601503759398,0.533333333333,0.4,0.105691056911,0.928571428571,0.5,0.404958677686,3.26666666667,0.933333333333,0.54954954955,4.35714285714,1.0,0.0727272727273,0.266666666667,0.266666666667,0.137254901961,0.5,0.357142857143,0.0975609756098,0.266666666667,0.266666666667,0.162162162162,0.428571428571,0.357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59375,1.26666666667,0.866666666667,0.709677419355,1.57142857143,0.928571428571,0.264367816092,1.53333333333,0.866666666667,0.353658536585,2.07142857143,0.928571428571,0.266666666667,0.666666666667,0,0,0.894165324165,0.936194923293,0,0,0.727870383402,0.820916944384,0,0,0.0625,0.0526315789474,0.0,0.0230263157895,0.00986842105263,0.0493421052632,0.0493421052632,0.0131578947368,0.0,0.0131578947368,0.0230263157895,0.00986842105263,0.0493421052632,0.00657894736842,0.00657894736842,0.0,0.0592105263158,0.0526315789474,0.0296052631579,0.00986842105263,0.0394736842105,0.0131578947368,0.0986842105263,0.0263157894737,0.105263157895,0.108552631579,0.55,0.207236842105,0.315789473684
69.txt,0.430769230769,0.757876857749,0.473076923077,0.763392857143,0.69512195122,0.204379562044,0.495555555556,0.641025641026,0.753424657534,1.0,0.62962962963,0.139534883721,0.429292929293,0.895953757225,0.980694980695,0.136956521739,1.3125,0.520833333333,0.194323144105,1.89361702128,0.723404255319,0.0635593220339,0.3125,0.25,0.0978723404255,0.489361702128,0.382978723404,0.208888888889,0.979166666667,0.458333333333,0.28125,1.34042553191,0.574468085106,0.0982142857143,0.229166666667,0.208333333333,0.135135135135,0.31914893617,0.276595744681,0.0422535211268,0.0625,0.0625,0.0845070422535,0.127659574468,0.127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615,0.0212765957447,0.0212765957447,0.272727272727,0.375,0.291666666667,0.348484848485,0.489361702128,0.382978723404,0.167630057803,0.604166666667,0.395833333333,0.220930232558,0.808510638298,0.510638297872,0.229166666667,0.0625,0.0,0.0,0.809677436535,0.922472323707,0.675017390374,0,0.672066666218,0.810272036818,0,0,0.0423076923077,0.0384615384615,0.0,0.0230769230769,0.00384615384615,0.0403846153846,0.025,0.0,0.0173076923077,0.00961538461538,0.0173076923077,0.00384615384615,0.0692307692308,0.0115384615385,0.00192307692308,0.00961538461538,0.0461538461538,0.0269230769231,0.0192307692308,0.00384615384615,0.0153846153846,0.00384615384615,0.075,0.00384615384615,0.0673076923077,0.0576923076923,0.25641025641,0.223076923077,0.278846153846
183.txt,0.529850746269,0.802922374429,0.496268656716,0.711267605634,0.759398496241,0.318518518519,0.554418604651,0.901960784314,0.666666666667,0.791666666667,0.6,0.2,0.569892473118,0.943820224719,0.992481203008,0.19689119171,6.33333333333,1.0,0.341085271318,8.8,1.0,0.0925925925926,1.66666666667,0.666666666667,0.161764705882,2.2,1.0,0.313953488372,4.5,1.0,0.540983606557,6.6,1.0,0.0444444444444,0.333333333333,0.333333333333,0.0645161290323,0.4,0.4,0.114285714286,0.666666666667,0.666666666667,0.285714285714,1.2,1.0,0.0555555555556,0.166666666667,0.166666666667,0.1,0.2,0.2,0.2,0.5,0.333333333333,0.375,0.6,0.4,0.434782608696,1.66666666667,1.0,0.8125,2.6,1.0,0.184615384615,2.0,1.0,0.311111111111,2.8,1.0,0.333333333333,1.16666666667,0.5,2.5,0.997530573049,0.997991338788,0.998587702882,0.999915293937,0.702230608037,0.846827994255,0.783395370537,0.888775235315,0.0522388059701,0.0298507462687,0.00373134328358,0.0111940298507,0.0186567164179,0.0261194029851,0.0261194029851,0.0,0.0,0.0223880597015,0.0111940298507,0.0111940298507,0.0597014925373,0.0186567164179,0.00746268656716,0.0111940298507,0.0373134328358,0.0223880597015,0.00746268656716,0.00746268656716,0.0186567164179,0.00746268656716,0.0746268656716,0.0111940298507,0.0485074626866,0.0820895522388,0.43137254902,0.182835820896,0.257462686567
