filename,basic_ntokens,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_fw,log_ttr_fw,maas_ttr_aw,mattr50_aw,mattr50_fw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_cw
289.txt,0.25688073394495414,0.5445305770887168,0.4421499680715639,0.4688869412795794,0.6219900045433895,0.39896053621993616,0.6068177560046786,0.5135475102777369,0.38434080838800894,0.5501720607173788,0.37383702958197107,0.8364883747385535,0.7847426607292394,0.3659227087837077,0.2126972040409278,0.14379670973502912,0.3597422201784612,0.0933668846796342,0.1611906367386975,0.2766527616280742
262.txt,0.30504587155963303,0.5607803049663516,0.2619408149842444,0.3454968944099378,0.6501590186278963,0.2567013693833034,0.463551514068008,0.3613351133344018,0.49859730343475045,0.6566475018941909,0.4468122102009271,0.8719356291653457,0.8005357755979179,0.38119366008813726,0.1645035929303844,0.26125046090447224,0.458469512057307,0.09032231235312438,0.2205273829072517,0.28200085339442804
276.txt,0.3463302752293578,0.5002444304769886,0.5859333957780517,0.4632248939179632,0.4623655913978495,0.47742226508422897,0.8757971052638351,0.6320689643424569,0.3217474278689684,0.7904957410160229,0.7197429431383722,0.8010246963154872,0.9181389056772318,0.5940741122981325,0.14609554344189907,0.5020407145868634,0.5841847730656883,0.3890590628504863,0.44850179071583274,0.18944098351982644
29.txt,0.8486238532110092,0.8642549526270455,0.7574590705075435,0.201900237529691,0.23812316715542536,0.18270477784203482,0.6955824760859666,0.36928739601455396,0.3987871532383967,0.7811549758679146,0.4540535263971386,0.8733016737725804,0.8143411570637209,0.6511093766613446,0.21269575665972434,0.3594713550432419,0.5691237267880966,0.5065357332758111,0.3254111646749651,0.23774231482349886
15.txt,0.3967889908256881,0.47658914728682156,0.41673386446472915,0.24234693877551017,0.31653225806451624,0.2728874690849135,0.5852174590692485,0.411084334950905,0.5614230466480146,0.6418016159532416,0.5394518028681543,0.7724225256705846,0.8194141400506862,0.47158701172259565,0.10500345692527936,0.34535061833092817,0.41006792810991893,0.2910675750452695,0.29978412204680316,0.13608708303573785
114.txt,0.24770642201834864,0.42969286625453806,0.39067836202501804,0.3504043126684636,0.4424650938854118,0.3575827090576725,0.5275471700279801,0.45968688806752533,0.5494100950584269,0.5520183787331832,0.44785306063764696,0.7651884239208094,0.7945877077429276,0.28343410897908455,0.07229650843995723,0.233753552594397,0.36367452128822464,0.32310275075516204,0.21958519603737925,0.1446852713655751
100.txt,0.2798165137614679,0.5931633510787337,0.28801892936335305,0.31379025598678767,0.599620493358634,0.23167589212106948,0.36463285390728695,0.3064102268203417,0.5659290195683773,0.6406971779045849,0.40963347317288545,0.8560770283493494,0.7179765728706705,0.3088068310463621,0.19115345012564905,0.20547548330171417,0.41889443466410436,0.0,0.2321687970259131,0.26666327121633326
128.txt,0.3967889908256881,0.4938655923823472,0.41673386446472915,0.5006377551020408,0.6498655913978493,0.43645919208573786,0.9548444586033962,0.6168353409367162,0.25040524016811,0.8188000687639689,0.6468843542738614,0.9276370046267984,0.9405677722146663,0.6827384815552601,0.3248860049270291,0.4039140863404238,0.5519087186262686,0.0,0.36269366712920115,0.4341718911197524
129.txt,0.5275229357798166,0.520074048362837,0.3080031400933192,0.30757498729028965,0.521889400921659,0.2641765489251063,0.777960300475542,0.452736520484454,0.39966165880916876,0.5956886177849723,0.422389489953634,0.8888098170713563,0.8282231006070465,0.4319274787117342,0.15753410812913526,0.2615311333858428,0.3803969787196017,0.48631968628783373,0.23575051959972826,0.3187658009001554
101.txt,0.27522935779816515,0.6883241428913927,0.32588244148415724,0.5012531328320801,0.8971482000935016,0.3052519276465739,0.4954339325122066,0.40950121774947146,0.3292560536169305,0.6601960900357067,0.4299542153917937,0.9722870940342593,0.7858158312786089,0.5832568506968562,0.505694840472642,0.2925636523191758,0.4593527398730956,0.0,0.21040793537965186,0.3505277358939767
