filename,nwords,av_nominal_deps,av_nsubj_deps,av_nsubj_pass_deps,av_agents_deps,av_dobj_deps,av_pobj_deps,av_ncomp_deps,av_nominal_deps_NN,av_nsubj_deps_NN,av_dobj_deps_NN,nominal_deps_stdev,nsubj_stdev,nsubj_pass_stdev,agents_stdev,dobj_stdev,pobj_stdev,ncomp_stdev,nsubj_NN_stdev,nsubj_pass_NN_stdev,det_all_nominal_deps_struct,amod_all_nominal_deps_struct,prep_all_nominal_deps_struct,poss_all_nominal_deps_struct,vmod_all_nominal_deps_struct,nn_all_nominal_deps_struct,rcmod_all_nominal_deps_struct,advmod_all_nominal_deps_struct,conj_and_all_nominal_deps_struct,conj_or_all_nominal_deps_struct,det_all_nominal_deps_NN_struct,advmod_all_nominal_deps_NN_struct,det_nsubj_deps_struct,amod_nsubj_deps_struct,prep_nsubj_deps_struct,poss_nsubj_deps_struct,nn_nsubj_deps_struct,rcmod_nsubj_deps_struct,advmod_nsubj_deps_struct,conj_and_nsubj_deps_struct,det_nsubj_deps_NN_struct,amod_nsubj_deps_NN_struct,prep_nsubj_deps_NN_struct,poss_nsubj_deps_NN_struct,nn_nsubj_deps_NN_struct,det_dobj_deps_struct,amod_dobj_deps_struct,prep_dobj_deps_struct,poss_dobj_deps_struct,vmod_dobj_deps_struct,nn_dobj_deps_struct,rcmod_dobj_deps_struct,advmod_dobj_deps_struct,conj_and_dobj_deps_struct,det_pobj_deps_struct,amod_pobj_deps_struct,prep_pobj_deps_struct,poss_pobj_deps_struct,vmod_pobj_deps_struct,nn_pobj_deps_struct,rcmod_pobj_deps_struct,advmod_pobj_deps_struct,conj_and_pobj_deps_struct,conj_or_pobj_deps_struct,cl_av_deps,cl_ndeps_std_dev,acomp_per_cl,advcl_per_cl,agent_per_cl,cc_per_cl,conj_per_cl,csubj_per_cl,discourse_per_cl,dobj_per_cl,expl_per_cl,iobj_per_cl,mark_per_cl,ncomp_per_cl,neg_per_cl,nsubj_per_cl,nsubjpass_per_cl,prep_per_cl,prepc_per_cl,prt_per_cl,tmod_per_cl,xcomp_per_cl,advmod_per_cl,aux_per_cl,modal_per_cl,acad_av_lemma_freq,acad_av_construction_freq,acad_av_lemma_construction_freq,acad_av_approx_collexeme,acad_av_faith_verb_cue,acad_av_faith_const_cue,acad_av_delta_p_verb_cue,acad_av_lemma_freq_log,acad_av_lemma_construction_freq_type,acad_collexeme_ratio,acad_lemma_ttr,acad_construction_ttr,acad_lemma_construction_attested,news_av_approx_collexeme,news_av_faith_const_cue,news_collexeme_ratio,mag_collexeme_ratio,fic_av_approx_collexeme,fic_av_faith_const_cue,fic_collexeme_ratio,all_collexeme_ratio,all_av_lemma_freq_stdev,all_av_construction_freq_stdev,all_av_lemma_construction_freq_stdev,all_av_approx_collexeme_stdev,all_av_faith_verb_cue_stdev,all_av_faith_const_cue_stdev,acad_av_faith_const_cue_stdev,fic_av_faith_const_cue_stdev
0.txt,0.5888650963597432,0.46319272125723077,0.17860465116288002,0.0,0.0,0.19117647058825,0.3076923076923077,0.40816326530571423,0.44880382774981764,0.25,0.23076923076925,0.4502992516240913,0.31525038914020637,0.0,0.0,0.270197294947729,0.414816498313326,0.555065250687721,0.28284271247480003,0.0,0.657905217044653,0.08602150537632,0.22497932175393845,0.241935483871,0.0,0.09775171065500002,0.0,0.2661290322580911,0.18817204301075,0.0,0.678787878788,0.1454545454544,0.2441860465108779,0.0,0.0,0.06976744186056977,0.0,0.0,0.0,0.2093023255817093,0.583333333333,0.0,0.0,0.0833333333333,0.0,0.235294117647,0.0,0.117647058824,0.235294117647,0.0,0.0441176470589603,0.0,0.0,0.15686274509813333,0.52,0.08,0.08666666666675334,0.23999999999988,0.0,0.04,0.0,0.0,0.0,0.0,0.5284090909090803,0.47606799822947965,0.10909090909096364,0.3818181818193818,0.0,0.10909090909058182,0.2181818181823909,0.0,0.0,0.20606060606066667,0.10909090909058182,0.09090909090900001,0.19090909090940456,0.2181818181823909,0.218181818182,0.6109090909088,0.0,0.436363636364,0.09090909090900001,0.4848484848485333,0.1454545454544,0.41454545454555125,0.27272727272686365,0.581818181818,0.029090909090880003,0.40279906336745713,0.25234513589615126,0.3173141870762765,0.19851991976596242,0.31450111445788964,0.2068191492958664,0.48427913640111,0.8137740212939331,0.18745427494482042,0.1,0.581818181818,0.840909090909,0.581818181818,0.1821797029767462,0.13761506097764759,0.19,0.13846153846153847,0.2889333723133459,0.22516798224734869,0.14074074074074072,0.09876543209888888,0.8602568695737515,0.49831811258331754,0.6799745757994342,0.04490222367815313,0.5456060072089175,0.2930545222481533,0.21645364167289768,0.4333612431396831
10.txt,0.11134903640256959,0.4512820512818462,0.04,0.0,0.0,0.3333333333325,0.4835164835169231,0.2857142857142857,0.3684210526309972,0.02777777777775,0.4,0.4472575514751202,0.13658087982875328,0.0,0.0,0.5229763603670606,0.40378542768943665,0.0,0.1322875655532,0.0,0.6555555555556526,0.2666666666672,0.0,0.16666666666675,0.2571428571418653,0.1515151515152273,0.0,0.0,0.16666666666675,0.250000000000375,0.5454545454546667,0.0,0.09374999999995312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.5,0.0833333333335,0.0,0.166666666667,0.666666666668,0.12500000000056252,0.0,0.0,0.0,0.714285714286,0.571428571429,0.0,0.21428571428539284,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.5625000000003516,0.6829249992651284,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19047619047599998,0.0,0.0,0.0,0.07142857142846429,0.0,0.5714285714288,0.0,0.444444444444,0.0,0.253968253968,0.0,0.5428571428562743,0.3571428571423214,0.095238095238,0.0,0.17709838157431304,0.21075613977994784,0.04016148400170115,0.215147617183393,0.3275289002509154,0.08884032054114176,0.4873684940024221,0.7573468382851686,0.055042450788371784,0.06818181818181818,0.75,0.941176470588,0.380952380952,0.32978052273544484,0.19087799682640402,0.1,0.07692307692307693,0.3150404731411858,0.1742949004232487,0.07407407407407407,0.06481481481481481,0.5843570554553943,0.4262301545001828,0.08915927895886462,0.07900444582797425,0.37676586586706756,0.30695248624825516,0.08271214575156818,0.2454282571060369
100.txt,0.3147751605995717,0.4786324786326154,0.21333333333312002,0.0,0.0,0.3,0.23076923076923078,0.3214285714285714,0.4117647058804025,0.2045454545455,0.3125,0.4519819217864567,0.3690941190952426,0.0,0.0,0.46441108479281895,0.366649448631578,0.41518553955940535,0.3322649545168,0.0,0.36419753086497986,0.1777777777776,0.06457739791074615,0.2777777777775,0.42857142857054703,0.33670033670000005,0.12345679012333334,0.15277777777777776,0.18518518518524998,0.0,0.3529411764706667,0.1176470588236,0.0,0.09259259259250001,0.0,0.1111111111111111,0.555555555555,0.0,0.0,0.0,0.0,0.060606060606066665,0.0,0.0909090909091,0.4772727272719318,0.2,0.1,0.0666666666667,0.266666666667,0.533333333332,0.05000000000015,0.083333333333375,0.0,0.3555555555546666,0.25,0.125,0.0,0.18749999999990624,0.0,0.0,0.0,0.0,0.27083333333360415,0.0,0.5250000000003282,0.45853255156018885,0.24000000000009603,0.17142857142887144,0.0,0.0,0.21428571428539284,0.0,0.0,0.285714285714,0.17142857142805715,0.0,0.1285714285713857,0.17142857142891427,0.2285714285716,0.5942857142856001,0.0,0.228571428572,0.0,0.1523809523808,0.1142857142856,0.5428571428562743,0.29999999999985,0.457142857142,0.13714285714288,0.5766506414543313,0.4032324723266206,0.4165596260231907,0.2340761896712393,0.37780778027245127,0.2318884623322675,0.5248134439718564,0.9032028632421844,0.25664580524066877,0.2727272727272727,0.484848484848,0.78125,0.828571428571,0.21322787556871925,0.18219164208979713,0.28,0.16666666666653845,0.3079057468372129,0.2413197065831269,0.5925925925925926,0.12962962962962962,0.939727045696371,0.6194355090172065,0.8444136929441383,0.039220311728538786,0.6010476434101232,0.2514491533588104,0.15299165186216673,0.3863975279783561
101.txt,0.2676659528907923,0.6982248520738462,0.12,0.0,0.0,0.4,0.3724696356276923,0.4047619047614286,0.5935672514606417,0.1,0.444444444445,0.6566764400267818,0.20699439530506503,0.0,0.0,0.5031767216270195,0.6378555738290327,0.3419583072112585,0.1959591794228,0.0,0.5042735042730747,0.46153846153920003,0.3353057199213563,0.528846153845,0.5934065934050761,0.0874125874125,0.06410256410266667,0.0,0.048076923077,0.0,0.444444444444,0.0,0.0,0.0,0.125,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.2749999999998969,0.0,0.349999999999125,0.5,0.3,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.157894736842,0.263157894737,0.34210526315800877,0.5526315789477236,0.6315789473687369,0.0,0.0,0.0,0.11403508771948069,0.0,0.4437500000009024,0.41462243632816487,0.20000000000048002,0.3000000000003,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.4000000000003,0.34999999999932496,0.0,0.4266666666664001,0.12222222222222223,0.5333333333333333,0.3333333333335,0.17777777777759998,0.0,0.12666666666646398,0.19999999999939996,0.333333333334,0.32000000000000006,0.5646291709249218,0.37511068075189175,0.4640807023909889,0.2368051514926644,0.2780260926188074,0.28213864095600655,0.42716744714883387,0.8653027634972238,0.31811971746161,0.5,0.633333333333,0.777777777778,0.8,0.19821429593306683,0.19348958521184273,0.0,0.0,0.2918934660362291,0.30033730543853127,0.5185185185185185,0.0,0.9568277945132382,0.592248687772933,0.8229955136894642,0.03885942145757904,0.23471031664028014,0.2403428124032832,0.18596907750311215,0.4391084302164277
102.txt,0.2633832976445396,0.6153846153846154,0.28444444444416,0.5,0.0,0.36111111111,0.2692307692307693,0.46428571428571425,0.4374999999993092,0.2,0.40625,0.545579319098843,0.5625000000013258,0.6666666666666666,0.0,0.4007860950220799,0.4327173652420577,0.7316298641150389,0.529150262212,0.6666666666666666,0.3833658219618716,0.3929824561408,0.6117858749437274,0.30701754386,0.13533834586409907,0.0797448165868182,0.46783625731,0.28947368421043945,0.0,0.26315789473715795,0.2777777777773333,0.1666666666668,0.16666666666641666,0.2777777777775,0.222222222222,0.0,0.138888888889,0.0,0.0,0.0,0.2,0.13333333333333333,0.2749999999998969,0.0,0.08749999999978125,0.222222222222,0.1666666666665,0.111111111111,0.111111111111,0.444444444444,0.0,0.694444444445,0.0,0.0,0.125,0.208333333333,0.27083333333360415,0.3749999999998125,0.0,0.0416666666667,0.12499999999988749,0.0,0.0,0.1875000000003375,0.4843749999996778,0.5346452919771724,0.15000000000006,0.0,0.0,0.0,0.12499999999988749,0.0,0.0,0.25,0.49999999999879996,0.0,0.06250000000001875,0.250000000000375,0.0,0.5666666666664,0.30555555555573893,0.5,0.0,0.0,0.0,0.158333333333365,0.3749999999998125,0.416666666666,0.13333333333327999,0.5795530444925603,0.36965344011282786,0.23115273862482175,0.050589151833937834,0.4456385039552357,0.21778780285947266,0.5537246555637138,0.9131644137394211,0.3533578123593724,0.10606060606045456,0.521739130435,0.818181818182,0.791666666667,0.09144104308816849,0.19513005140429487,0.16,0.17307692307692307,0.08579324267740349,0.18581465096080269,0.14814814814814814,0.07407407407407407,0.9088128891541499,0.6161227235971263,0.5940854832243241,0.31412895907713945,0.6171893542894717,0.14807442286764433,0.13876910796501785,0.13761130506651698
103.txt,0.33190578158458245,0.38461538461538464,0.27733333333312,0.0,0.0,0.138888888889,0.25174825174830767,0.2857142857142857,0.2745098039212508,0.11,0.25,0.3556067683210759,0.35742090416663275,0.0,0.0,0.28720274340431856,0.4305570972295299,0.38100038100017525,0.28235123910160004,0.0,0.6828703703704715,0.025,0.27243589743623275,0.078125,0.0,0.07102272727272728,0.15625,0.2578125000002578,0.0390625,0.0,0.5228758169933333,0.0784313725492,0.44999999999977497,0.0,0.0666666666666,0.0,0.08333333333324999,0.1888888888890148,0.24166666666600206,0.0,0.36,0.0,0.05499999999997938,0.0,0.0349999999999125,0.444444444444,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.272727272727,0.0454545454545,0.19696969696991362,0.1363636363635818,0.0,0.0454545454545,0.1363636363635818,0.0,0.09848484848484848,0.0,0.5279605263153301,0.3323354925108887,0.15789473684166316,0.07894736842117894,0.0,0.0,0.2763157894738618,0.09649122807032984,0.0,0.157894736842,0.0,0.0,0.15789473684242106,0.07894736842106052,0.0,0.6315789473688,0.09649122807032984,0.49122807017599995,0.13157894736849998,0.42105263157920003,0.0,0.19999999999999998,0.6315789473681842,0.368421052632,0.0,0.36394107942237847,0.2818787652833506,0.3674749205713857,0.2105145572989073,0.1993221344584409,0.07055112999687804,0.3205530213983163,0.7492511359004844,0.30586752913611254,0.4545454545454546,0.578947368421,0.862068965517,0.526315789474,0.16999333643993825,0.04828340720438774,0.44,0.46153846153846156,0.22975569654392242,0.06983405274483921,0.2962962962962963,0.20987654321,0.85362327212088,0.5224621707706988,0.6792719245350302,0.00379382252611407,0.29151712339332997,0.03898425441340345,0.04832126041039611,0.05764704484968428
104.txt,0.37687366167023556,0.5720476706393847,0.37818181818176,0.5,0.0,0.3571428571425,0.2481389578163077,0.42857142857142855,0.46233230133927,0.2727272727275,0.384615384615,0.44056308447474773,0.41262676489562483,0.6666666666666666,0.0,0.4106673579092829,0.4961873366470868,0.38100038100017525,0.3170108322576,0.0,0.584767866458494,0.1802816901408,0.44203683640259533,0.3521126760575,0.6519114688108518,0.06402048655568182,0.23474178403766668,0.23239436619735737,0.07042253521125,0.0,0.496732026144,0.156862745098,0.20454545454589773,0.22727272727275,0.454545454546,0.13636363636363635,0.0,0.0,0.3295454545445483,0.0,0.272727272727,0.12121212121199999,0.6249999999991407,0.0909090909091,0.0,0.357142857143,0.0714285714285,0.142857142857,0.428571428571,0.571428571428,0.05357142857158393,0.08928571428575,0.0,0.19047619047626665,0.258064516129,0.129032258065,0.06989247311828656,0.14516129032252742,0.5806451612892387,0.0322580645161,0.0483870967741258,0.1612903225805,0.06989247311828656,0.0,0.43421052631527146,0.3648098113632473,0.03157894736845263,0.0,0.0,0.0,0.11842105263159079,0.0,0.0,0.24561403508799998,0.6315789473687369,0.0,0.11842105263159079,0.11842105263159079,0.1052631578948,0.4421052631576,0.19298245614065968,0.5964912280706667,0.0,0.14035087719306666,0.1052631578948,0.0,0.3157894736833421,0.421052631578,0.08421052631584,0.4245174002713736,0.2670924047071865,0.15869911408951043,0.22025604925823924,0.20476738035730271,0.16008223034543126,0.3087464395178658,0.8569500477598754,0.16000361665716648,0.10606060606045456,0.631578947368,0.971428571429,0.842105263158,0.1841586192692234,0.10952807561195742,0.1,0.13076923076923078,0.24780632006720912,0.10349513675125721,0.16049382716037036,0.10493827160481481,0.8733273693559533,0.529869511623357,0.5753489082384521,0.022747008356725808,0.3599618979055394,0.13499484875281487,0.13238724239103522,0.16966953396857168
105.txt,0.48608137044967886,0.5185825410541539,0.0969696969696,0.25,0.0,0.35,0.34461538461538466,0.3428571428571428,0.4817813765166077,0.14285714285725,0.4166666666675,0.46074454420709887,0.19505462294338385,0.6285393610546666,0.0,0.5031767216270195,0.45223967901205814,0.3885456754817857,0.197948663722,0.0,0.46650020807240244,0.2516853932592,0.4701815038893993,0.4775280898875,0.2600321027276857,0.20429009193045455,0.0,0.0,0.0,0.0,0.4358974358973333,0.0,0.09090909090910454,0.0,0.0,0.2727272727275727,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.428571428571,0.0,0.35,0.175,0.3,0.2,0.2,0.11250000000028125,0.0,0.0,0.0,0.24,0.12,0.26000000000025997,0.5399999999997299,0.23999999999952,0.16,0.0,0.0,0.0,0.0,0.4891304347821808,0.3829021195232383,0.0,0.13043478260893043,0.0,0.0,0.09782608695640109,0.0,0.0,0.289855072464,0.0,0.217391304348,0.09782608695640109,0.16304347826091847,0.2608695652172,0.5739130434784,0.31884057971035223,0.347826086956,0.108695652174,0.11594202898559999,0.0869565217392,0.2478260869561913,0.3913043478253043,0.347826086956,0.1739130434784,0.2537366598730896,0.3586683824652271,0.1592506760244415,0.22133548912323325,0.37947252817194893,0.22034720362243135,0.45879244345002923,0.7708546629789093,0.10331030571682047,0.2159090909090909,0.733333333333,0.809523809524,0.717391304348,0.19538232390784638,0.17403749379490058,0.4,0.16923076923076924,0.2981096252370129,0.22072623801517513,0.3209876543211111,0.2222222222222222,0.7230810586369844,0.6555241934854594,0.545887725796532,0.038096242446828125,0.49295835889394746,0.32880256948474923,0.25357782678764507,0.3686837825694318
106.txt,0.5010706638115633,0.7322297955200001,0.52965517241408,1.0,0.0,0.34375,0.36923076923076925,0.47619047619,0.5058915946581486,0.3333333333325,0.3666666666675,0.47700868592051715,0.5406347834613434,0.0,0.0,0.35933393817046533,0.5616641938632699,0.179605302026576,0.4,0.0,0.8574777308952751,0.3848101265824,0.7062641999372795,0.09493670886075001,0.29294755876947737,0.25891829689318185,0.042194092827,0.10443037974692941,0.09493670886075001,0.0,0.5970149253733332,0.0597014925372,0.3103448275858448,0.51724137931,0.344827586206,0.10344827586220344,0.1724137931035,0.0,0.2499999999996375,0.10344827586220344,0.333333333333,0.222222222222,0.3819444444446068,0.0555555555556,0.09722222222188194,0.375,0.15625,0.125,0.0,0.0,0.28125000000070316,0.0,0.0,0.16666666666666666,0.5,0.166666666667,0.3611111111121944,0.09999999999999999,0.1999999999994,0.0333333333333,0.04999999999992499,0.0,0.07222222222222222,0.0,0.45833333333278653,0.41696068058149727,0.13333333333325334,0.13333333333333333,0.0,0.13333333333293335,0.13333333333328332,0.0814814814814815,0.0,0.2370370370373333,0.0,0.0,0.29999999999985,0.09999999999999999,0.1777777777776,0.5155555555551999,0.0814814814814815,0.355555555556,0.0,0.0,0.1777777777776,0.3377777777776173,0.19999999999939996,0.533333333334,0.32000000000000006,0.48967067568204253,0.414624430410637,0.24404771832111677,0.11695229688954147,0.22124492997616368,0.11010079454509675,0.2325115271113517,0.8423682678168659,0.15761048465557218,0.050505050505,0.511111111111,0.8,0.8,0.09615570792407185,0.08953663864686459,0.0866666666668,0.057692307692307696,0.12297096730996564,0.11415026603246392,0.08888888888888888,0.05761316872444444,0.9222973145715196,0.6515275684258588,0.6684196766497048,0.21504152027811874,0.3382360624013083,0.11084365499245684,0.1180636845049647,0.1466449812191515
107.txt,0.5096359743040686,0.5941644562332308,0.384,0.1666666666665,0.3333333333333333,0.329545454545,0.3473945409415385,0.0,0.3733997155030946,0.1785714285715,0.3,0.398330123949499,0.3792123697926618,0.3142696805273333,0.0,0.4795329668693574,0.41629381356349116,0.0,0.305950064842,0.3333333333333333,0.5525755640690447,0.5333333333328001,0.5210727969343849,0.1724137931035,0.08866995073894667,0.07836990595613637,0.07662835249033334,0.18965517241376464,0.028735632184,0.0,0.3783783783786666,0.054054054054,0.149999999999925,0.5833333333324999,0.2,0.2000000000003,0.16666666666675,0.0,0.0,0.0,0.142857142857,0.222222222222,0.19642857142830134,0.0952380952381,0.08333333333312916,0.363636363636,0.25,0.318181818182,0.0454545454545,0.0,0.03409090909096023,0.0,0.1477272727272727,0.0,0.322580645161,0.322580645161,0.20967741935507633,0.14516129032252742,0.1935483870962129,0.0,0.09677419354840161,0.1612903225805,0.06989247311828656,0.0,0.5350609756109594,0.4654865710599085,0.11707317073180683,0.2195121951221195,0.21951219512181955,0.0,0.29268292682985364,0.0,0.0,0.35772357723599996,0.1463414634141073,0.0,0.25609756097537195,0.0,0.1951219512196,0.5658536585368,0.268292682927035,0.39024390243866663,0.0,0.0,0.0,0.4634146341453219,0.29268292682985364,0.536585365854,0.3512195121952,0.21089068405766975,0.47734903215051017,0.14536339807119805,0.23027499184047592,0.47784991883826244,0.22112545981303985,0.468987073737406,0.7738212093869402,0.1262796122736565,0.4318181818181818,0.731707317073,0.783783783784,0.658536585366,0.1932875437375488,0.11741814954903163,0.0,0.3653846153846154,0.25456196343190707,0.09762806214854154,0.7037037037037037,0.38888888888888884,0.6562130013596028,0.7726986061787935,0.4924510645281181,0.03054506832120758,0.4694884159529952,0.1567944676266428,0.23388010259255648,0.1281962353093256
