filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_binary_all_sent,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent,adjacent_overlap_noun_sent,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_binary_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_2_noun_sent_div_seg,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_adv_sent,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_binary_argument_sent,adjacent_overlap_2_argument_sent,adjacent_overlap_2_argument_sent_div_seg,syn_overlap_sent_verb,syn_overlap_para_noun,lda_1_all_sent,lda_1_all_para,lda_2_all_para,word2vec_1_all_sent,basic_connectives,conjunctions,disjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density,repeated_content_and_pronoun_lemmas
289.txt,0.5302571315247525,0.6578731482319893,0.5480968552906624,0.6396724294816867,0.6217143533210306,0.39766330323996407,0.33447853110464454,0.48490566037704763,0.6923076923081894,0.866666666667,0.875,0.6764044943819008,0.5689030612243859,0.7495424262371002,0.8613595706598778,0.4702665755295602,0.42105263157894735,1.0,0.9333333333328,0.38888888888888884,1.0,0.4074668807710323,0.5,1.0,0.6111111111099907,0.25,1.0,0.41538461538445565,0.47333333333289157,0.5,1.0,1.0,0.5714285714285714,1.0,0.1428571428572,0.125,0.5,0.0,0.0,0.0,0.3760683760679165,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.125,0.5,1.0,0.5882352941176471,1.0,0.4142011834323604,0.5,1.0,1.0,0.7272727272727273,0.16666666666666666,0.2894736842105263,0.9997126200514641,0.9984002230387213,0.0,0.8365909296564049,0.5483079307681904,0.6518987341769936,0.0,0.1297468354429666,0.22658227848062293,0.5519891500913091,0.26371308016944445,0.12658227848099998,0.1481012658229181,0.14683544303783078,0.0,0.15189873417707847,0.7594936708866666,0.0,0.0,0.0,0.6626147453870916,0.21032132424585595,0.20072332730546813,0.5063291139239999,0.0,0.5616014662944424,0.0,0.5793140098485037,0.2341772151900842,0.4215950428334142
262.txt,0.3732858007481289,0.5568624993056939,0.406040692530778,0.7476872914789032,0.5934579981663427,0.20038140298304058,0.20415122312809175,0.47169811320775645,0.719063545151096,0.882352941176,0.666666666667,0.13707865168590794,0.18186649659951376,0.6090158045972651,0.8867648849362215,0.46634768740150506,0.12781954887210525,0.928571428571,0.503144654088,0.21367521367499998,1.0,0.10888610763483238,0.030612244897999998,0.214285714286,0.1584362139916013,0.06730769230775,0.461538461538,0.4326923076921413,0.0696078431372317,0.01785714285715,0.0714285714286,0.121212121212,0.087912087912,0.230769230769,0.0869565217392,0.01785714285715,0.0714285714286,0.14772727272719519,0.051282051282,0.153846153846,0.0,0.0,0.0,0.0,0.0769230769231,0.0714285714286,0.0769230769231,0.03846153846155,0.695652173913,0.285714285715,0.714285714286,0.772727272727,0.3846153846147059,0.846153846154,0.6657342657340518,0.24285714285800003,0.714285714286,0.396226415094,0.29370629370545454,0.023809523809555554,0.10526315789473684,0.8113899445063737,0.9324250870925018,0.9902841067377786,0.8369438284157813,0.2563180712700932,0.37357512953345035,0.0,0.10621761658028221,0.0,0.287564766839559,0.4317789291888889,0.1036269430052,0.0,0.0,0.1554404145074223,0.37305699481890153,0.4145077720206667,0.19827288428278367,0.0,0.264988897112763,0.3986156706092198,0.573933838182505,0.3286454478156646,0.310880829016,0.2556131260792556,0.24289030079933688,0.18652849740967462,0.302418224085575,0.7348877374794015,0.6640812219007938
276.txt,0.43167925206805957,0.6943878143058844,0.6883731944145444,0.6876790348133714,0.4342419624878363,0.40188528943178553,0.5696902854861419,0.3854447439346478,0.559440559441271,0.619047619048,0.9375,0.29147389292812736,0.3775307742152974,0.6686851696109062,0.8939808481525198,0.5014182162005272,0.16228070175421053,0.916666666667,0.5019607843136,0.24242424242444446,1.0,0.40511497958326287,0.15476190476142856,0.666666666667,0.44322344322263063,0.25,0.818181818182,0.3010033444810381,0.47333333333289157,0.16666666666675,0.666666666667,0.222222222222,0.2077922077922857,0.727272727273,0.0,0.0,0.0,0.24074074074034954,0.12121212121199999,0.363636363636,0.5146198830396634,0.1666666666665,0.294117647059,0.3409090909096023,0.0,0.0,0.0,0.0,0.333333333333,0.08333333333325,0.333333333333,0.5,0.16042780748676472,0.454545454545,0.4835164835153947,0.18333333333340002,0.75,0.288888888889,0.21487603305818181,0.018518518518555554,0.0,0.8914738176101209,0.0,0.0,0.8503446713906433,0.19377848226658848,0.20000000000041201,0.10679611650498681,0.4975728155338761,0.17378640776675047,0.19244105409177817,0.4045307443361111,0.0970873786408,0.1135922330098496,0.33786407766922266,0.4368932038827815,0.2330097087377336,0.6148867313913334,0.371521035599342,0.19902912621395843,0.3723994452145252,0.32821462980797644,0.6452576549666105,0.4618585298189009,0.0970873786408,0.478964401296079,0.3567851337702025,0.11650485436900662,0.46047016417061487,0.17961165048541294,0.5880230260324999
29.txt,0.14350703060389458,0.7002750216533111,0.6850516760616947,0.7268104694123076,0.11990555659919444,0.16300975487071578,0.5141397094763607,0.25938987832815663,0.21200750469056184,0.511111111111,0.75,0.2476071577191465,0.2895607461736888,0.3725677576908524,0.5827950043082355,0.5860519066262648,0.24736842105263157,0.95,0.5877551020416,0.3684210526316667,1.0,0.628447596534553,0.3142857142857143,0.85,0.49917491749175064,0.36184210526375,1.0,0.3615384615379379,0.46357388316156733,0.2375,0.6,0.282608695652,0.3909774436085714,0.789473684211,0.25,0.1125,0.35,0.27083333333370574,0.19298245614033332,0.526315789474,0.4277777777776827,0.175,0.333333333333,0.47368421052718424,0.0,0.0,0.0,0.0,0.181818181818,0.05,0.2,0.333333333333,0.10835913312705882,0.368421052632,0.41565452091666727,0.22000000000000003,0.6,0.287037037037,0.2966507177036364,0.12777777777777777,0.2736842105263158,0.8590284180810555,0.8483225744177401,0.9991555742298059,0.8970366375183622,0.28171729521292493,0.35599078341039453,0.10138248847946138,0.23617511520749374,0.08248847926261836,0.25576036866362006,0.4480286738347222,0.1382488479262,0.43133640553033137,0.4811059907820566,0.41474654377929265,0.1658986175113073,0.6605222734253334,0.3086021505381323,0.09447004608319114,0.35352205398216974,0.3888908432125869,0.6125487415807723,0.5480579328507647,0.5069124423960001,0.05683563748091017,0.4131513647645386,0.1382488479264553,0.5020524044961641,0.2699692780339533,0.9467373829952503
15.txt,0.2716273553192208,0.6641044553768167,0.4780198691008257,0.4809567138962838,0.27864850619997006,0.30734951164946905,0.5730002021687746,0.27250231982574935,0.32692307692295264,0.909090909091,0.769230769231,0.37895812053062844,0.32593907128150895,0.5839774078467199,0.8751635960936346,0.5827292782856313,0.28289473684210525,1.0,0.6379084967328,0.4841269841272222,1.0,0.4456264775406637,0.23214285714285712,0.875,0.5142276422759048,0.41071428571375,1.0,0.4089581304771504,0.553900709218183,0.34375,0.75,0.348837209302,0.61224489796,1.0,0.1481481481482,0.0625,0.25,0.4945652173910659,0.3333333333333333,0.428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0714285714285,0.111111111111,0.03125,0.125,0.444444444444,0.16806722689088238,0.428571428571,0.48766328011662297,0.30000000000000004,0.75,0.387755102041,0.4935064935072727,0.041666666666666664,0.0,0.8351227947181911,0.0,0.0,0.911422172101539,0.352106507839679,0.39785407725353455,0.18884120171682886,0.4399141630897021,0.15364806866919908,0.34028203556116887,0.4172627563180556,0.0,0.5021459227470222,0.6969957081530668,0.6437768240336782,0.1030042918453576,0.7439198855533334,0.2463519313305821,0.0,0.32924586143501466,0.39591783245423623,0.570485308682075,0.4763948497845638,0.0,0.21173104434917175,0.3887324490710049,0.15450643776846182,0.5584630981618235,0.15879828326212547,0.6790244630525639
114.txt,0.35240775484817266,0.54855859718438,0.4541231126605645,0.54708826205656,0.42389525368267134,0.2886124891520035,0.3705775321779128,0.33655111891107103,0.5029585798824598,0.857142857143,0.692307692308,0.3932584269662214,0.3562701396354458,0.5175234468663241,0.7329888027558287,0.7084668192227106,0.3157894736842105,1.0,0.6577777777776,0.4111111111111111,1.0,0.5784574468093722,0.2857142857142857,1.0,0.49358974358975527,0.35,1.0,0.5203619909501844,0.6085714285711987,0.375,1.0,0.392857142857,0.6285714285714286,1.0,0.4,0.08333333333325,0.333333333333,0.4062499999997461,0.13333333333333333,0.4,0.0,0.0,0.0,0.0,0.142857142857,0.166666666667,0.2,0.1,0.454545454545,0.20833333333325,0.833333333333,0.666666666667,0.23529411764705885,0.8,0.685314685314655,0.46666666666600004,1.0,0.454545454545,0.5454545454545454,0.037037037037,0.0,0.8684754424328043,0.0,0.0,0.9227427881276464,0.4192384270786847,0.43963414634168446,0.2682926829266683,0.0,0.0,0.43510452961725654,0.25406504065,0.0,0.5707317073167307,0.28292682926759105,0.3658536585358171,0.0,0.6910569105666667,0.4666666666656462,0.5,0.31184668989494474,0.5836901880473913,0.5403377110695285,0.38675958188068776,0.0,0.0,0.35934223595653914,0.14634146341445856,0.6008056059324578,0.18800813008118802,0.557200252951639
100.txt,0.34631054131146033,0.7177023642033693,0.49124274099974996,0.6816693714080904,0.45919578960814345,0.22525117322557536,0.3535271781060203,0.4596912521439003,0.5811965811972577,0.631578947368,0.692307692308,0.22510654784984713,0.3032121299227967,0.5688788771452087,0.854357528775906,0.55586334256793,0.20095693779894735,0.909090909091,0.5052631578944,0.26666666666666666,0.9,0.2625622453602102,0.10389610389614284,0.454545454545,0.2837301587300969,0.1625,0.6,0.49450549450480985,0.23089430894297783,0.090909090909,0.272727272727,0.222222222222,0.22857142857142856,0.4,0.24,0.06818181818175,0.181818181818,0.2119565217394925,0.09999999999999999,0.2,0.0,0.0,0.0625,0.07500000000018751,0.0833333333333,0.0909090909091,0.1,0.05,0.409090909091,0.2045454545455,0.636363636364,0.45,0.2647058823529412,0.7,0.4590163934415636,0.236363636364,0.727272727273,0.314814814815,0.3090909090909091,0.1010101010101111,0.3684210526315789,0.9425159065055101,0.9930019032555537,0.0,0.78315217616745,0.6391836734700567,0.7724999999998146,0.0,0.30749999999986166,0.17899999999971003,0.5153571428576582,0.4166666666666667,0.0,0.0,0.11599999999989793,0.149999999999925,0.479999999999616,0.4,0.19133333333322106,0.0,0.2557142857142638,0.6861984732831692,0.16615384615380527,0.07928571428566784,0.3,0.24666666666691334,0.5884841628965801,0.12000000000004801,0.5897926150745061,0.4933333333338267,0.7254774103401369
128.txt,0.33838910618579143,0.7314239940000045,0.32200240162272253,0.6553204577800913,0.5644171534832266,0.20414669561709825,0.4361946667927641,0.6892341842388312,0.5116279069776082,0.7,0.692307692308,0.15730337078648854,0.31441326530631314,0.6352334037042255,0.8769743630471272,0.2163312693499419,0.03601108033242105,0.578947368421,0.2903703703696,0.07357357357333333,0.756756756757,0.023023181962549183,0.003759398496242857,0.0263157894737,0.11027568922287476,0.027027027027,0.216216216216,0.20752628666299713,0.0,0.0,0.0,0.0588235294118,0.02316602316602857,0.0810810810811,0.0,0.0,0.0,0.03963414634137523,0.009009009009,0.027027027027,0.12222222222219509,0.01315789473685,0.05,0.020270270270300678,0.0,0.0,0.125,0.04054054054055,0.19512195122,0.05263157894725,0.210526315789,0.390243902439,0.12718600953882353,0.405405405405,0.19145299145289754,0.0421052631578,0.210526315789,0.211111111111,0.09336609336618182,0.0,0.0022883295194526315,0.8259277028496991,0.8930210665862844,0.976175808457777,0.7247499524636517,0.1465236942233922,0.20949152542318975,0.0,0.06949152542360373,0.1213559322030294,0.26876513317181877,0.2354048964222222,0.33898305084799996,0.07932203389827733,0.07864406779643479,0.15254237288092373,0.16271186440666982,0.542372881356,0.1945762711858725,0.0,0.26004842614949203,0.2727442101178618,0.3379400260758553,0.322518159805354,0.40677966101600005,0.0,0.17423115269557587,0.04067796610165628,0.2951484443993285,0.39717514124323056,0.5924545877961405
129.txt,0.26744101103182105,0.5680371953733183,0.3113553113542915,0.533861952425986,0.412559859368696,0.21717339352154424,0.4142564364517871,0.47169811320775645,0.3538461538465514,1.0,0.666666666667,0.0891385767785907,0.1526612763757122,0.5862068965499985,0.744186046509113,0.4837284049816213,0.10916179337210526,0.777777777778,0.4672,0.15598290598277778,0.846153846154,0.4175331946905154,0.09523809523814286,0.518518518519,0.30314960629958065,0.1009615384615,0.576923076923,0.3347034644744867,0.46488095238153276,0.10185185185175,0.333333333333,0.203703703704,0.12087912087914285,0.346153846154,0.235294117648,0.0555555555555,0.222222222222,0.29846938775531345,0.11538461538466667,0.307692307692,0.0,0.0,0.0,0.0,0.05,0.037037037037,0.0526315789474,0.01923076923075,0.475,0.175925925926,0.555555555556,0.605263157895,0.260180995475,0.653846153846,0.680161943318966,0.22222222222200003,0.703703703704,0.373626373626,0.23776223776181818,0.037037037037,0.42105263157894735,0.9168158922164387,0.9863763582859666,0.0,0.7837196520094248,0.21938775510241024,0.2971153846157887,0.0,0.39423076923122263,0.11474358974346811,0.27953296703316527,0.2670940170944444,0.1923076923076,0.150000000000234,0.2230769230766197,0.19230769230740385,0.07692307692305847,0.4487179487180001,0.1839743589741627,0.13141025641054024,0.16391941391949166,0.2273634762188464,0.39053254437848856,0.25412087912007975,0.384615384616,0.23717948717961052,0.27098561318018016,0.03846153846157539,0.2501783328801183,0.39529914529976196,0.6426140231443079
101.txt,0.507870973972851,0.6045057349998628,0.27586501046694534,0.5910423617443961,0.8007637752319813,0.2898067899973599,0.36422813194848835,0.6477987421385043,0.7892976588625142,0.941176470588,1.0,0.15439034540132052,0.3522837706520218,0.6750261233019481,0.8764119601315441,0.6021245775001698,0.25438596491210524,1.0,0.527472527472,0.3333333333333333,1.0,0.2127659574471892,0.09523809523814286,0.5,0.2619047619042817,0.175,0.6,0.5547337278101713,0.3641025641018602,0.16666666666675,0.5,0.208333333333,0.2857142857142857,0.6,0.0,0.0,0.0,0.27083333333370574,0.13333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636363636364,0.2916666666675,1.0,0.777777777778,0.4117647058823529,1.0,0.6403326403316059,0.366666666666,1.0,0.363636363636,0.43636363636363634,0.018518518518555554,0.0,0.7703988536256423,0.0,0.0,0.7414950326629562,0.18609477689379647,0.2909604519771102,0.0,0.9265536723160831,0.0,0.26876513317181877,0.6277463904583334,0.0,0.5288135593226289,0.0,0.2542372881358729,0.0,0.3766478342746667,0.0,0.0,0.0,0.24336912925333376,0.438070404172323,0.4479418886192519,0.677966101694,0.0,0.44267198404858277,0.0,0.550251622473362,0.5922787193978756,0.4040780417126818
