filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
172.txt,144,89,60,53,84,36,0.5955056179775281,0.4166666666666667,0.6180555555555556,0.8833333333333333,0.42857142857142855,7.416666666666667,6.84227057829977,3.927922024247863,0.9031800792426322,0.9697014633759469,0.8087716331200164,0.04485804451845297,0.01703934725323062,0.09937661765893684,0.783578947368421,0.9290909090909092,0.5279999999999998,0.74,0.9,0.52,0.8006612526405996,0.91533216442626,0.5749828864718803,69.26201842264507,143.99999999999997,22.686528497409327,65.87903225806451,0.0,21.4234375,75.625,74.0,21.785714285714285
98.txt,200,101,84,62,116,39,0.6138613861386139,0.42,0.505,0.7380952380952381,0.33620689655172414,7.14177848998413,6.764754597315764,3.6210590944525114,0.8710539964970249,0.9314613021514454,0.7706936228924223,0.0560383844391245,0.035617853575102366,0.11107340440163016,0.73841059602649,0.8560000000000002,0.4829850746268657,0.7549999999999999,0.8,0.45999999999999996,0.7643346223158604,0.8442048617751424,0.5274591252701734,59.45032665014644,89.80363636363639,19.509090909090908,50.32071663510416,0.0,17.29139218269653,53.53,83.3048780487805,18.870689655172413
166.txt,169,78,53,39,116,39,0.5,0.3136094674556213,0.46153846153846156,0.7358490566037735,0.33620689655172414,6.0,5.357061993998872,3.6210590944525114,0.8492777477293573,0.9227436485525188,0.7706936228924223,0.06765256597587117,0.04480509923587105,0.11107340440163016,0.702333333333333,0.74,0.5256716417910445,0.7066666666666667,0.72,0.54,0.7511597868972729,0.7853097697714787,0.5803995652723253,50.12952300349631,54.589999999999996,22.608405735678463,41.34302995391705,41.5,20.34354764107308,47.53846153846154,54.69230769230769,20.094827586206897
99.txt,166,96,74,52,92,44,0.5416666666666666,0.4457831325301205,0.5783132530120482,0.7027027027027027,0.4782608695652174,7.451045046780795,6.0448772146786025,4.587317109255645,0.8928714974366619,0.9180260133194027,0.8368789405867926,0.04825373284321157,0.04385437386671095,0.08306450276438346,0.7678632478632482,0.7688000000000001,0.5962790697674414,0.7466666666666667,0.78,0.64,0.8089345545190532,0.7879220677257534,0.6356737485671534,53.435983304212776,58.12017167381974,21.61111111111111,54.53488560109952,38.36,21.599182515849183,50.265060240963855,48.74324324324324,21.065217391304348
167.txt,246,113,120,71,126,42,0.6283185840707964,0.4878048780487805,0.45934959349593496,0.5916666666666667,0.3333333333333333,7.204616857615722,6.4813835971444655,3.7416573867739413,0.8586926668916274,0.8903785334915777,0.7728394850000352,0.05910128329646162,0.052723381723841965,0.1081525902788977,0.734314720812183,0.7335211267605635,0.5246753246753245,0.7449999999999999,0.73,0.53,0.7600930385073518,0.7429429118654352,0.554152146208412,54.59166472574822,40.0,19.449563850866603,48.30040650406504,38.127710459183675,16.4090051457976,50.84146341463415,40.641666666666666,17.333333333333332
173.txt,156,74,69,45,87,29,0.6081081081081081,0.4423076923076923,0.47435897435897434,0.6521739130434783,0.3333333333333333,5.924741690788224,5.417363388859614,3.1091263510296048,0.8523144198617317,0.8990474107434865,0.7540002482184784,0.06734025975955918,0.05489987719222696,0.1268354265880001,0.6370093457943925,0.687,0.4052631578947369,0.66,0.7,0.38,0.7110615237629049,0.7379005706760314,0.475561512511708,31.89485790761381,36.210457647531115,12.507101759248101,25.952601233574683,29.56989247311828,12.72737556561086,29.58974358974359,39.17391304347826,13.551724137931034
8.txt,162,101,75,58,87,43,0.5742574257425742,0.46296296296296297,0.6234567901234568,0.7733333333333333,0.4942528735632184,7.9353094333157,6.697263122599658,4.610083899802517,0.9071318187885393,0.9404642013526346,0.8422027537876609,0.04203102517983311,0.03175138850646094,0.08135894809978866,0.7999999999999994,0.8346153846153845,0.6021052631578945,0.8133333333333334,0.78,0.58,0.8218569223670894,0.8507609017468165,0.6219137816085489,79.31383890317053,92.6470588235294,25.283565189259143,77.955938697318,0.0,21.79004889272361,79.44444444444444,81.0,23.298850574712645
66.txt,294,126,119,81,175,45,0.6428571428571429,0.40476190476190477,0.42857142857142855,0.680672268907563,0.2571428571428571,7.348469228349534,7.425257825928512,3.4016802570830453,0.8509217966366384,0.9195094374536362,0.7370416720053409,0.0603959586750982,0.03878041019720455,0.11723311075738055,0.6499591836734687,0.7519999999999998,0.4301587301587302,0.656,0.76,0.43333333333333335,0.7398193253952605,0.8543664121981637,0.5005332204101759,28.62743490838959,64.70959718270066,14.022435897435898,29.56044776119403,43.18583797155226,13.32022680795687,30.6734693877551,64.88235294117646,13.445714285714285
198.txt,171,76,66,50,105,26,0.6578947368421053,0.38596491228070173,0.4444444444444444,0.7575757575757576,0.24761904761904763,5.811865258054231,6.154574548966636,2.5373401896661862,0.8422825205685142,0.9337339819882159,0.7000696810644733,0.07063043177616095,0.03641902606328095,0.14839298776890486,0.6940983606557374,0.7976470588235296,0.4057142857142856,0.6866666666666666,0.82,0.41000000000000003,0.7174376579205959,0.8350260850260847,0.45338962671399813,47.04245081342662,76.23,17.470338983050848,43.753904249871994,0.0,16.874598930481284,45.96491228070175,70.0,16.857142857142858
72.txt,74,44,37,26,37,18,0.5909090909090909,0.5,0.5945945945945946,0.7027027027027027,0.4864864864864865,5.114896104728048,4.27437366993929,2.9591817714964312,0.8792129189433596,0.9022903917623605,0.8004534658002197,0.06461857017599956,0.06230678536957488,0.12724545008296104,0.6408,0.7027027027027027,0.4864864864864865,0.68,0.7027027027027027,0.4864864864864865,0.6965466946340869,0.0,0.0,33.48325845100557,33.62408759124088,13.764980427582053,24.11950354609929,15.48611111111111,11.646923076923077,33.5,24.37837837837838,12.45945945945946
