"filename","av_nsubj_pass_deps","av_pobj_deps","av_ncomp_deps","av_nsubj_deps_NN","av_nsubj_pass_deps_NN","av_pobj_deps_NN","nsubj_stdev","dobj_stdev","ncomp_stdev","nsubj_NN_stdev","dobj_NN_stdev","pobj_NN_stdev","det_all_nominal_deps_struct","amod_all_nominal_deps_struct","prep_all_nominal_deps_struct","poss_all_nominal_deps_struct","vmod_all_nominal_deps_struct","rcmod_all_nominal_deps_struct","advmod_all_nominal_deps_struct","conj_and_all_nominal_deps_struct","prep_all_nominal_deps_NN_struct","advmod_all_nominal_deps_NN_struct","det_nsubj_deps_struct","poss_nsubj_deps_struct","advmod_nsubj_deps_struct","conj_and_nsubj_deps_struct","det_nsubj_deps_NN_struct","amod_nsubj_deps_NN_struct","poss_nsubj_deps_NN_struct","rcmod_nsubj_deps_NN_struct","conj_and_nsubj_deps_NN_struct","det_dobj_deps_struct","amod_dobj_deps_struct","poss_dobj_deps_struct","conj_and_dobj_deps_struct","det_pobj_deps_struct","amod_pobj_deps_struct","prep_pobj_deps_struct","poss_pobj_deps_struct","advmod_pobj_deps_struct","conj_and_pobj_deps_struct","cl_ndeps_std_dev","advcl_per_cl","conj_per_cl","dobj_per_cl","iobj_per_cl","mark_per_cl","ncomp_per_cl","nsubj_per_cl","nsubjpass_per_cl","prep_per_cl","prepc_per_cl","prt_per_cl","tmod_per_cl","xcomp_per_cl","advmod_per_cl","modal_per_cl","acad_av_lemma_freq","acad_collexeme_ratio","acad_lemma_ttr","acad_construction_ttr","acad_lemma_construction_ttr","acad_lemma_construction_attested","news_av_lemma_construction_freq","news_av_faith_const_cue","news_collexeme_ratio","news_lemma_construction_attested","mag_collexeme_ratio","fic_collexeme_ratio","all_av_lemma_freq_stdev","all_av_construction_freq_stdev","all_av_lemma_construction_freq_stdev","all_av_approx_collexeme_stdev","all_av_faith_verb_cue_stdev","all_av_faith_const_cue_stdev","acad_av_faith_verb_cue_stdev","acad_av_faith_const_cue_stdev","acad_av_delta_p_verb_cue_stdev","news_av_faith_const_cue_stdev"
"0.txt",0,0.307692307692308,0.408163265305714,0.25,0,0.334448160535385,0.315250389140206,0.270197294947729,0.555065250687721,0.2828427124748,0.223223461572292,0.397483059092218,0.657905217044653,0.08602150537632,0.224979321753938,0.241935483871,0,0,0.266129032258091,0.18817204301075,0.263157894736522,0.1454545454544,0.244186046510878,0.0697674418605698,0,0.209302325581709,0.583333333333,0,0.0833333333333,0,0.437499999999672,0.235294117647,0,0.235294117647,0.156862745098133,0.52,0.08,0.0866666666667533,0.23999999999988,0,0,0.47606799822948,0.381818181819382,0.218181818182391,0.206060606060667,0.090909090909,0.190909090909405,0.218181818182391,0.6109090909088,0,0.436363636364,0.090909090909,0.484848484848533,0.1454545454544,0.414545454545551,0.272727272726864,0.02909090909088,0.402799063367457,0.1,0.581818181818,0.840909090909,0.84375,0.581818181818,0.227421718020572,0.137615060977648,0.19,0.727272727273,0.138461538461538,0.140740740740741,0.860256869573751,0.498318112583318,0.679974575799434,0.0449022236781531,0.545606007208917,0.293054522248153,0.632218849383092,0.216453641672898,0.671166170729565,0.207863520125837
"10.txt",0,0.483516483516923,0.285714285714286,0.02777777777775,0,0.483516483516923,0.136580879828753,0.522976360367061,0,0.1322875655532,0.435285750065698,0.403785427689437,0.655555555555653,0.2666666666672,0,0.16666666666675,0.257142857141865,0,0,0.16666666666675,0,0,0.0937499999999531,0,0,0,0.111111111111,0,0,0,0,0.5,0.0833333333335,0.166666666667,0,0.714285714286,0.571428571429,0,0.214285714285393,0,0,0.682924999265128,0,1,0.190476190476,0,0,0.0714285714284643,0.5714285714288,0,0.444444444444,0,0.253968253968,0,0.542857142856274,0.357142857142321,0,0.177098381574313,0.0681818181818182,0.75,0.941176470588,1,0.380952380952,0.0582122445981907,0.190877996826404,0.1,0.47619047619,0.0769230769230769,0.0740740740740741,0.584357055455394,0.426230154500183,0.0891592789588646,0.0790044458279743,0.376765865867068,0.306952486248255,0.370340504934346,0.0827121457515682,0.385649260306428,0.334757706418133
"100.txt",0,0.230769230769231,0.321428571428571,0.2045454545455,0,0.219780219780308,0.369094119095243,0.464411084792819,0.415185539559405,0.3322649545168,0.422113520939453,0.387944490415804,0.36419753086498,0.1777777777776,0.0645773979107462,0.2777777777775,0.428571428570547,0.123456790123333,0.152777777777778,0.18518518518525,0.085139318885388,0.1176470588236,0,0.111111111111111,0,0,0,0.0606060606060667,0.0909090909091,0,0,0.2,0.1,0.266666666667,0.355555555554667,0.25,0.125,0,0.187499999999906,0,0.270833333333604,0.458532551560189,0.171428571428871,0.214285714285393,0.285714285714,0,0.128571428571386,0.171428571428914,0.5942857142856,0,0.228571428572,0,0.1523809523808,0.1142857142856,0.542857142856274,0.29999999999985,0.13714285714288,0.576650641454331,0.272727272727273,0.484848484848,0.78125,0.758620689655,0.828571428571,0.346524874603603,0.182191642089797,0.28,0.857142857143,0.166666666666538,0.592592592592593,0.939727045696371,0.619435509017206,0.844413692944138,0.0392203117285388,0.601047643410123,0.25144915335881,0.546046042981409,0.152991651862167,0.573451674971042,0.235546272611701
"101.txt",0,0.372469635627692,0.404761904761429,0.1,0,0.442307692307692,0.206994395305065,0.50317672162702,0.341958307211259,0.1959591794228,0.41102417288584,0.61878156485261,0.504273504273075,0.4615384615392,0.335305719921356,0.528846153845,0.593406593405076,0.0641025641026667,0,0.048076923077,0.32163742689984,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.2,0,0.157894736842,0.263157894737,0.342105263158009,0.552631578947724,0,0.114035087719481,0.414622436328165,0.3000000000003,0,0.222222222222,0,0.4000000000003,0.349999999999325,0.4266666666664,0.122222222222222,0.533333333333333,0.3333333333335,0.1777777777776,0,0.126666666666464,0.1999999999994,0.32,0.564629170924922,0.5,0.633333333333,0.777777777778,0.75,0.8,0.38064383246749,0.193489585211843,0,0.833333333333,0,0.518518518518518,0.956827794513238,0.592248687772933,0.822995513689464,0.038859421457579,0.23471031664028,0.240342812403283,0.225373197794686,0.185969077503112,0.222061701024256,0.184655622287736
"102.txt",0.5,0.269230769230769,0.464285714285714,0.2,0.4,0.269230769230769,0.562500000001326,0.40078609502208,0.731629864115039,0.529150262212,0.310850911971507,0.432717365242058,0.383365821961872,0.3929824561408,0.611785874943727,0.30701754386,0.135338345864099,0.46783625731,0.289473684210439,0,0.603070175436838,0.1666666666668,0.166666666666417,0,0,0,0.2,0.133333333333333,0,0,0,0.222222222222,0.1666666666665,0.111111111111,0,0.125,0.208333333333,0.270833333333604,0.374999999999812,0,0,0.534645291977172,0,0.124999999999887,0.25,0,0.0625000000000187,0.250000000000375,0.5666666666664,0.305555555555739,0.5,0,0,0,0.158333333333365,0.374999999999812,0.13333333333328,0.57955304449256,0.106060606060455,0.521739130435,0.818181818182,0.842105263158,0.791666666667,0.208035684729294,0.195130051404295,0.16,0.75,0.173076923076923,0.148148148148148,0.90881288915415,0.616122723597126,0.594085483224324,0.314128959077139,0.617189354289472,0.148074422867644,0.54016935243258,0.138769107965018,0.471056733773846,0.170771720533739
"103.txt",0,0.251748251748308,0.285714285714286,0.11,0,0.307692307692308,0.357420904166633,0.287202743404319,0.381000381000175,0.2823512391016,0.229415733870517,0.413167122006588,0.682870370370471,0.025,0.272435897436233,0.078125,0,0.15625,0.257812500000258,0.0390625,0.283797729617863,0.0784313725492,0.449999999999775,0,0.241666666666002,0,0.36,0,0,0.08,0,0.444444444444,0,0,0,0.272727272727,0.0454545454545,0.196969696969914,0.136363636363582,0,0.0984848484848485,0.332335492510889,0.0789473684211789,0.276315789473862,0.157894736842,0,0.157894736842421,0.0789473684210605,0.6315789473688,0.0964912280703298,0.491228070176,0.1315789473685,0.4210526315792,0,0.2,0.631578947368184,0,0.363941079422378,0.454545454545455,0.578947368421,0.862068965517,0.85,0.526315789474,0.249444979474727,0.0482834072043877,0.44,0.578947368421,0.461538461538462,0.296296296296296,0.85362327212088,0.522462170770699,0.67927192453503,0.00379382252611407,0.29151712339333,0.0389842544134035,0.210072691036193,0.0483212604103961,0.158339431210764,0.0417948945714187
"104.txt",0.5,0.248138957816308,0.428571428571429,0.2727272727275,0.8,0.307692307692308,0.412626764895625,0.410667357909283,0.381000381000175,0.3170108322576,0.337152418570196,0.506024313704991,0.584767866458494,0.1802816901408,0.442036836402595,0.3521126760575,0.651911468810852,0.234741784037667,0.232394366197357,0.07042253521125,0.45407636738835,0.156862745098,0.204545454545898,0.136363636363636,0.329545454544548,0,0.272727272727,0.121212121212,0.0909090909091,0,0,0.357142857143,0.0714285714285,0.428571428571,0.190476190476267,0.258064516129,0.129032258065,0.0698924731182866,0.145161290322527,0.1612903225805,0.0698924731182866,0.364809811363247,0,0.118421052631591,0.245614035088,0,0.118421052631591,0.118421052631591,0.4421052631576,0.19298245614066,0.596491228070667,0,0.140350877193067,0.1052631578948,0,0.315789473683342,0.08421052631584,0.424517400271374,0.106060606060455,0.631578947368,0.971428571429,0.96875,0.842105263158,0.14116573418143,0.109528075611957,0.1,0.868421052632,0.130769230769231,0.16049382716037,0.873327369355953,0.529869511623357,0.575348908238452,0.0227470083567258,0.359961897905539,0.134994848752815,0.338056599623307,0.132387242391035,0.247416873682299,0.155644370237042
"105.txt",0.25,0.344615384615385,0.342857142857143,0.14285714285725,0.8,0.320512820513846,0.195054622943384,0.50317672162702,0.388545675481786,0.197948663722,0.389931767908986,0.465959285298099,0.466500208072402,0.2516853932592,0.470181503889399,0.4775280898875,0.260032102727686,0,0,0,0.556680161943478,0,0.0909090909091045,0.272727272727573,0,0,0.285714285714,0,0.428571428571,0,0,0.35,0.175,0.2,0,0.24,0.12,0.26000000000026,0.53999999999973,0,0,0.382902119523238,0.13043478260893,0.0978260869564011,0.289855072464,0.217391304348,0.0978260869564011,0.163043478260918,0.5739130434784,0.318840579710352,0.347826086956,0.108695652174,0.1159420289856,0.0869565217392,0.247826086956191,0.391304347825304,0.1739130434784,0.25373665987309,0.215909090909091,0.733333333333,0.809523809524,0.939393939394,0.717391304348,0.148878492255738,0.174037493794901,0.4,0.782608695652,0.169230769230769,0.320987654321111,0.723081058636984,0.655524193485459,0.545887725796532,0.0380962424468281,0.492958358893947,0.328802569484749,0.402895809914725,0.253577826787645,0.366057733428818,0.316352613367007
"106.txt",1,0.369230769230769,0.47619047619,0.3333333333325,0.8,0.348717948716923,0.540634783461343,0.359333938170465,0.179605302026576,0.4,0.292198762760933,0.567710268969643,0.857477730895275,0.3848101265824,0.70626419993728,0.09493670886075,0.292947558769477,0.042194092827,0.104430379746929,0.09493670886075,0.69128043990409,0.0597014925372,0.310344827585845,0.103448275862203,0.249999999999638,0.103448275862203,0.333333333333,0.222222222222,0.0555555555556,0,0.0972222222222271,0.375,0.15625,0,0.166666666666667,0.5,0.166666666667,0.361111111112194,0.1,0,0.0722222222222222,0.416960680581497,0.133333333333333,0.133333333333283,0.237037037037333,0,0.29999999999985,0.1,0.5155555555552,0.0814814814814815,0.355555555556,0,0,0.1777777777776,0.337777777777617,0.1999999999994,0.32,0.489670675682042,0.050505050505,0.511111111111,0.8,0.861111111111,0.8,0.211081838958777,0.0895366386468646,0.0866666666668,0.755555555556,0.0576923076923077,0.0888888888888889,0.92229731457152,0.651527568425859,0.668419676649705,0.215041520278119,0.338236062401308,0.110843654992457,0.307158625716491,0.118063684504965,0.176148035275202,0.109979454406972
"107.txt",0.1666666666665,0.347394540941538,0,0.1785714285715,0.2,0.348717948716923,0.379212369792662,0.479532966869357,0,0.305950064842,0.294689845877188,0.422966913719369,0.552575564069045,0.5333333333328,0.521072796934385,0.1724137931035,0.0886699507389467,0.0766283524903333,0.189655172413765,0.028735632184,0.469416785205172,0.054054054054,0.149999999999925,0.2000000000003,0,0,0.142857142857,0.222222222222,0.0952380952381,0,0,0.363636363636,0.25,0.0454545454545,0,0.322580645161,0.322580645161,0.209677419355076,0.145161290322527,0.1612903225805,0.0698924731182866,0.465486571059908,0.21951219512212,0.292682926829854,0.357723577236,0,0.256097560975372,0,0.5658536585368,0.268292682927035,0.390243902438667,0,0,0,0.463414634145322,0.292682926829854,0.3512195121952,0.21089068405767,0.431818181818182,0.731707317073,0.783783783784,0.851851851852,0.658536585366,0.1022860652312,0.117418149549032,0,0.658536585366,0.365384615384615,0.703703703703704,0.656213001359603,0.772698606178793,0.492451064528118,0.0305450683212076,0.469488415952995,0.156794467626643,0.385949309756394,0.233880102592556,0.31987298880984,0.152528946645361
"108.txt",0,0.483516483516923,0.428571428571429,0.08333333333325,0,0.615384615384615,0.152459180284392,0.399266727156446,0.466628262627601,0.1885618083164,0.352412279309077,0.625359400799752,0.635690235690131,0.4654545454544,0.380419580420366,0.13636363636375,0.280519480518399,0.303030303030333,0.450000000000825,0.0454545454545,0.413533834585508,0.2285714285716,0,0.136363636363636,0,0,0,0,0.166666666667,0,0,0.466666666667,0.1666666666665,0,0,0.428571428571,0.5,0.154761904762121,0.214285714285393,0,0.154761904762121,0.338099205890993,0.29032258064549,0.0483870967741258,0.322580645161333,0,0.0967741935484016,0.193548387097403,0.567741935484,0,0.344086021505333,0,0.172043010752533,0,0.490322580646706,0.338709677419331,0.05161290322576,0.515459072975236,0.181818181818182,0.451612903226,0.677419354839,0.807692307692,0.838709677419,0.228184037041288,0.245744887026661,0.15,0.870967741935,0.144230769230769,0.138888888888889,0.916302599739162,0.822812403007078,0.698734421090796,0.240594450175408,0.691118367170879,0.262370476921914,0.648537998799973,0.289393148868619,0.420377518585068,0.244760563945515
"109.txt",0,0.225641025640923,0.333333333332857,0.4,0,0.307692307692308,0.41677331968465,0.502739746537432,0.421211769588532,0.407921561088,0.434907733711889,0.522619663934914,0.36419753086498,0.14814814814816,0.387464387464477,0.04629629629625,1,0.185185185185333,0.305555555555556,0.0925925925925,0.516917293231162,0.2857142857144,0.05999999999997,0,0,0,0.2,0.133333333333333,0,0,0,0.125,0.0625,0,0,0.333333333333,0.0666666666667,0,0.1,0,0.144444444444661,0.449218638995997,0.416666666667417,0.0833333333333583,0.148148148148,0,0.291666666665854,0.250000000000375,0.5555555555552,0,0.370370370370667,0,0.148148148148267,0,0,0.333333333332833,0.2666666666672,0.528891018818312,0.118181818181818,0.527777777778,0.818181818182,0.821428571429,0.777777777778,0.275797599791687,0.186703376014633,0.13,0.777777777778,0.134615384615385,0.0888888888888889,0.919921489154437,0.473900484555087,0.727486491283271,0.141425625041472,0.355974360111886,0.192767025430398,0.415612762283235,0.206723237033374,0.405432545029552,0.189059173606746
