"filename","Positiv_GI","Negativ_GI","Affil_GI","Hostile_GI","Submit_GI","Pleasur_GI","Arousal_GI","Emot_GI","Virtue_GI","Vice_GI","Ovrst_GI","Undrst_GI","Academ_GI","Doctrin_GI","Exch_GI","Econ_GI","Legal_GI","Role_GI","Ritual_GI","Socrel_GI","Kin_2_GI","Male_GI","Female_GI","Nonadlt_GI","Place_GI","Social_GI","Region_GI","Object_GI","Tool_GI","Vehicle_GI","Bldgpt_GI","Comnobj_GI","Natobj_GI","Bodypt_GI","Comform_GI","Com_GI","Say_GI","Goal_GI","Try_GI","Means_GI","Persist_GI","Complet_GI","Fail_GI","Natrpro_GI","Begin_GI","Vary_GI","Increas_GI","Finish_GI","Stay_GI","Rise_GI","Exert_GI","Fetch_GI","Travel_GI","Know_GI","Causal_GI","Ought_GI","Perceiv_GI","Compare_GI","Eval_GI","Quality_GI","Quan_GI","Numb_GI","Ord_GI","Card_GI","Freq_GI","Time_2_GI","Time_GI","Space_GI","Pos_GI","Dim_GI","Self_GI","Our_GI","You_GI","Intrj_GI","Iav_GI","Dav_GI","Power_GI_neg_3","Exprsv_GI_neg_3","Coll_GI_neg_3","Food_GI_neg_3","Abs_GI_neg_3","Rel_GI_neg_3","Name_GI_neg_3","negative_adjectives_component","social_order_component","action_component","positive_adjectives_component","joy_component","fear_and_digust_component","positive_nouns_component","respect_component","trust_verbs_component","failure_component","well_being_component","certainty_component","positive_verbs_component","objects_component"
"33.txt",0.245191898701044,0.227106227106227,0.209615384615385,0.138957816377171,0.392307692307693,0,0.312087912087913,0.161085972850679,0.350226244343892,0.0923076923076912,0.282567137005007,0.0871794871794861,0,0,0,0.0679487179487173,0.440384615384616,0.132692307692308,0,0.447115384615385,0,0.341538461538462,0,0,0.203846153846155,0.113846153846152,0.155128205128203,0.160946745562131,0,0,0,0.199999999999997,0,0.132692307692306,0.285714285714285,0.157894736842106,0,0,0,0,0,0.326627218934911,0,0.0615384615384608,0,0.523076923076924,0.174358974358972,0.096153846153845,0,0.461538461538462,0.564102564102565,0.187179487179485,0.326923076923078,0.0817307692307683,0.245299145299146,0.244871794871792,0.0758241758241748,0,0.223776223776224,0.156043956043956,0.188581852053094,0,0,0,0.232692307692305,0.183653846153846,0.0773279352226711,0.20414201183432,0,0,0.321893491124261,0,0.0815384615384606,0.134871794871793,0.483594976452119,0.258832359623499,0.391475409836065,0.43032786885246,0,0,0.23472429210134,0.17096018735363,0,0.140662063758849,0.324797015057644,0.264089403718737,0.685187364961471,0.410593587156768,0.104535656607174,0.494610126982412,0.0932542585094108,0.445083947219785,0.0479613230756684,0.220218169338628,0.265422764053152,0.32953229188552,0.258645749518289
"27.txt",0.205875669345018,0.4044357469015,0.497716894977169,0.371188687582854,0.232876712328767,0,0.13894324853229,0,0.31184528605963,0.164383561643836,0.481154251438761,0.621004566210045,0,0,0,0.121004566210046,0.522831050228311,0,0,0.663527397260273,0,0.101369863013699,0,0,0,0,0,0.143308746048472,0.0931506849315067,0,0,0,0,0.236301369863014,0.424005218525765,0.0937274693583274,0.323785803237858,0.333333333333333,0.207436399217221,0.446917808219178,0.698630136986301,0.581664910432033,0,0,0,0.186301369863014,0.310502283105023,0.171232876712329,0.41095890410959,0.273972602739726,0.251141552511416,0.333333333333333,0.232876712328768,0.436643835616438,0.436834094368341,0.436073059360731,0.405088062622309,0,0.239103362391034,0.416829745596869,0.317086656621927,0,0,0,0,0.245291095890411,0.137707281903389,0.218124341412013,0,0,0.0716543730242361,0.361433087460485,0.145205479452055,0.240182648401826,0.522365110427733,0.490275128605281,0.61230769230769,0,0.255128205128206,0,0.44055944055944,0,0,0.0769461740950573,0.00968597700030062,0.329969146748932,0.284051398012474,0.797831890892108,0.33775192975799,0.494841467077837,0.25795627523002,0.174260944309924,0.0846376289570621,0.104234002985935,0.325513287276286,0.996072715640311,0.101629990508834
"244.txt",0.312207571246278,0.20733012306046,0.612359550561797,0.152229068503081,0.382022471910112,0.204119850187266,0.113964686998395,0.176470588235294,0.341044282881692,0.0674157303370776,0.338275380626288,0.382022471910112,0,0,0,0.397003745318353,0.428838951310861,0.193820224719101,0.140449438202247,0.925210674157303,0,0,0.304836345872009,0,0.297752808988765,0.498876404494381,0,0.117545375972342,0.0382022471910106,0,0.249438202247191,0,0,0.387640449438202,0.313001605136436,0.23063276167948,0.0663942798774249,0.136704119850185,0.170144462279294,0.48876404494382,0.191011235955057,0.159031979256699,0.146067415730335,0.134831460674158,0.505617977528092,0.229213483146068,0.127340823970036,0,0.505617977528092,0.112359550561796,0.308988764044945,0,0.286516853932585,0.35814606741573,0.447877652933832,0,0.2215088282504,0.126966292134829,0.130745658835546,0.113964686998395,0.37218675948707,0,0,0,0,0.335323033707865,0.0564754583086922,0.387640449438203,0,0.377528089887642,0.411408815903198,0,0.41685393258427,0.0985018726591745,0.628210272873195,0.570598065709006,0.421411764705881,0.257352941176472,0.487745098039217,0,0.112299465240641,0.368067226890756,0,0.0881929374134753,0.474445943952278,0.38042272328777,0.572268229475073,0.450756002996525,0.0615394354770063,0.979274948334379,0.0563889339407278,0.263013936089327,0.30279214689614,0.596041427110067,0.352430600689706,0.792541352630706,0.192386824184688
"250.txt",0.372252942010492,0.26360544217687,0.432539682539683,0.322580645161289,0,0.432539682539683,0.0603741496598634,0.186974789915967,0.135504201680673,0.0714285714285708,0.447449985911524,0.539682539682539,0.134920634920635,0.157738095238094,0,0.10515873015873,0.22718253968254,0.205357142857143,0.297619047619048,0.691964285714285,0,0.572619047619048,0,0,0.0525793650793648,0,0,0.155677655677656,0.0809523809523808,0,0,0.154761904761903,0.353741496598639,0.102678571428571,0.184240362811791,0.12218045112782,0,0.144841269841269,0.0901360544217679,0.323660714285714,0.101190476190475,0.252747252747253,0.309523809523809,0,0.357142857142857,0.0809523809523802,0,0.0744047619047613,0,0.119047619047618,0,0.144841269841269,0.151785714285715,0.316220238095239,0.474537037037038,0.189484126984126,0.0586734693877545,0.134523809523808,0.0692640692640692,0.422619047619048,0.401128009225891,0.134920634920634,0,0.152777777777776,0.540178571428573,0.142113095238095,0,0.315934065934066,0,0.266666666666667,0.124542124542125,0,0.126190476190476,0.208730158730159,0.289859693877551,0.271436106088005,0.376486486486485,0.413851351351352,0.112049549549549,0.0905405405405398,0.257985257985257,0.0704633204633199,0,0.0494183880336427,0.228810153399489,0.225013580474903,0.364269943816251,0.299040564440874,0.0724001650701085,0.988813896467742,0.396611036917342,0.359991861329477,0.401707801210492,0.128353364290267,0.52633166430592,0.491966231337623,0.255121905614307
"278.txt",0.290231107330215,0.159760874046588,0.432539682539683,0.156402737047898,0.294372294372294,0.314574314574314,0.0878169449598016,0.36261777438248,0.229946524064171,0,0.299597838059377,0.637806637806638,0.0490620490620487,0,0,0.0382395382395381,0,0.597402597402599,0.108225108225108,0.377435064935065,0.554112554112554,0.352380952380953,0.146809712027103,0.256854256854255,0.0764790764790762,0.0640692640692636,0,0.158508158508159,0.0883116883116883,0,0.0640692640692636,0.337662337662338,0,0.149350649350648,0.401978973407543,0.473912052859422,0.153482880755608,0.210678210678209,0.196660482374768,0.188311688311688,0.220779220779221,0.122544122544122,0.450216450216449,0,0.51948051948052,0.117748917748917,0.0981240981240975,0,0.259740259740258,0.086580086580086,0.158730158730158,0,0.147186147186148,0.367965367965368,0.483164983164983,0,0.170686456400742,0.391341991341991,0.100747737111373,0.131725417439703,0.499049890573605,0.58874458874459,0.38961038961039,0.333333333333333,0.523809523809524,0.335903679653679,0.261107313738893,0.183816183816184,0.38961038961039,0.0969696969696964,0.747252747252749,0,0.0458874458874456,0.379509379509379,0.311191359660748,0.333500009132921,0.346086956521738,0.211352657004832,0.0801127214170687,0,0.368906455862977,0.151138716356108,0.121309715512613,0.254534018193756,0.191970830560847,0.261413264162957,0.440090235669413,0.457919042992364,0.116233291950327,0.493525520853993,0.102223049384542,0.164186619653959,0.507301257003243,0.133900594306904,0.537595983838894,0.485613007580664,0.302600309630336
"287.txt",0.217673330497661,0.0838744588744591,0.516098484848485,0.205278592375366,0.386363636363636,0,0.345779220779221,0.118983957219252,0.172459893048128,0,0.303388918773534,0.128787878787879,0,0,0,0.100378787878788,0,0,0.142045454545455,0.330255681818182,0,0.252272727272728,0,0,0.200757575757576,0.336363636363636,0,0.178321678321679,0.0772727272727274,0,0,0,0.337662337662338,0.392045454545454,0,0,0.134297520661157,0.553030303030302,0.344155844155844,0,0.386363636363636,0.160839160839161,0,0.272727272727273,0,0.154545454545455,0,0,0,0,0.208333333333334,0.276515151515152,0.193181818181819,0.120738636363637,0,0,0.224025974025973,0,0.066115702479339,0.23051948051948,0.0647876341620034,0.515151515151515,0.681818181818182,0,0,0.203480113636363,0.114234449760766,0.361888111888112,0.681818181818182,0,0.356643356643357,0.299825174825176,0.120454545454546,0.199242424242425,0.0907641465677179,0.448318229766013,0.0947619047619044,0,0,0.159523809523809,0.113636363636363,0.372448979591837,0,0.266004109192494,0.233421673554402,0.456256376696181,0.432736761199972,0.187768373682703,0.0518795027049302,0.00587385582487987,0.167562519752713,0.122357387667118,0,0.0213844950460629,0.0584980934214706,0.494225905090532,0.0849916705388814
"293.txt",0.254861096836117,0.548769693751106,0.574039653035936,0.235040172682576,0.0631970260223047,0,0.188528943175783,0.155696479335228,0.394926743931774,0.535315985130112,0.400167176260971,0.252788104089219,0.168525402726146,0,0.271375464684014,0.131350681536555,0.141883519206939,0.0320631970260223,0.0464684014869887,0.432156133828996,0,0,0,0,0.426889714993805,0.330111524163568,0.299876084262701,0.700028595939378,0.808921933085498,0,0,0.0966542750929365,0.110462028677642,0,0.161090458488228,0.228918019956956,0,0.0904584882280048,0.112586298459904,0.565985130111524,0.0631970260223047,0.210466113811838,0.0966542750929365,0.148698884758364,0,0.101115241635687,0,0.325278810408922,0,0,0.1363073110285,0.18091697645601,0.0947955390334574,0.355483271375465,0.592730276745147,0.118339529120198,0.109930961232076,0.0840148698884756,0.15140250084488,0.263940520446097,0.41244434107713,0.168525402726146,0,0.1908302354399,0.112453531598513,0.15532063197026,0.0747407552338093,0.276236774378039,0,0.0832713754646839,0.0777809551043751,0.392336288247068,0.236431226765799,0.195539033457249,0.637906835596693,0.224230624441203,0.450566037735848,0.0660377358490563,0,0.050566037735848,0.468267581475128,0.23611859838275,0,0.674040530669297,0.258667101641847,0.135895512087091,0.228844709947264,0.0850972812432504,0.185028675659604,0.00784519619863633,0.0839953257055439,0.185987719963953,0.26793536849143,0.155121085210024,0.348272775587887,0,0.689054754739118
"285.txt",0.112589653705687,0.572660098522167,0.391522988505748,0.389321468298108,0.293103448275862,0,0.2185960591133,0.0902636916835698,0.22895537525355,0.620689655172414,0.297898388084065,0.39080459770115,0.0488505747126436,0.228448275862068,0,0.190373563218391,0.24676724137931,0.111530172413793,0,0.334051724137931,0,0,0,0,0.304597701149427,0.0637931034482757,0.347701149425287,0.60875331564987,0.439655172413792,0,0,0.336206896551723,0.768472906403939,0.148706896551724,0.106732348111658,0.176950998185118,0,0.209770114942528,0.065270935960591,0.328124999999999,0,0.0610079575596816,0.336206896551723,0.172413793103448,0.129310344827586,0.117241379310345,0.390804597701149,0.21551724137931,0,0,0.237068965517241,0.314655172413793,0.0366379310344828,0.320581896551724,0.687260536398468,0.137212643678161,0,0.48706896551724,0.0752351097178682,0.0874384236453201,0.733798148856954,0.0977011494252873,0,0.110632183908046,0.130387931034483,0.128636853448276,0.129990925589836,0.366047745358091,0.129310344827586,0.386206896551724,0.0225464190981432,0.909814323607429,0,0.075574712643678,0.516416695988739,0.133718445365925,0.142142857142857,0,0.222098214285714,0.179464285714285,0.426136363636362,0.139668367346938,0,0.692777742679369,0.146764486173374,0.106523559431947,0.309186269298741,0.0692644246054751,0.428179097558504,0.00435845128913787,0.0820319473139447,0.107232396814991,0.0439526509832823,0.320151719458842,0.751207745906812,0,0.574098222446099
"246.txt",0.222182384236629,0.695587135377711,0.903577661431065,0.662050329336259,0.445026178010471,0.570680628272251,0.424831712789828,0.164459501077918,0.317831844779797,0.502617801047121,0.382167972985533,0.178010471204188,0.059336823734729,0.138743455497381,0,0.0924956369982553,0.49956369982548,0.045157068062827,0.130890052356021,0.811518324607329,0,0,0,0,0.231239092495638,0.0774869109947638,0,0.492952074103907,0.106806282722513,0.801047120418847,0,0.136125654450261,0.62228870605834,0.270942408376963,0.129643480428821,0.0716450812896117,0,0,0.792819745699327,0.0569371727748687,0.356020942408378,0.666935159081755,0.272251308900524,0.37696335078534,0,0.284816753926702,0,0.06544502617801,0,0.104712041884816,0.191972076788831,0.764397905759162,0.578534031413615,0.111256544502618,0.50087260034904,1,0,0.118324607329842,0.152308424559734,0.637247569184742,0.339093728372104,0.237347294938919,0,0.268760907504363,0.633507853403143,1,1,0.194522754732179,0,0,0.164317358034636,0.13813934756343,0.443979057591623,0.091797556719022,0.499118495565767,0.5824055051141,0.0869945355191256,0.047814207650273,0,0.878688524590164,0.991058122205662,0.0569867291178762,0,0.434757075387737,0.105521347398431,0.746071535371078,0.504993058566791,0.28670525490955,0.093209292023437,0.200484894888458,0,0.343660833255962,0.0358666441539352,0.083195018669977,0.265644799835685,0,0.416216562221267
"252.txt",0.81067734539532,0.630081300813008,0.886178861788618,0.5507474429583,0.310975609756098,0.221544715447154,0.309233449477352,0.446915351506456,0.277618364418938,0.365853658536586,0.204358493289075,0.414634146341463,0.0691056910569099,0.323170731707317,0.222560975609754,0.107723577235773,0.349085365853659,0.36814024390244,0.38109756097561,0.826981707317073,0,0.496341463414634,0,0,0.107723577235773,0.180487804878048,0,0.25515947467167,0.207317073170732,0.155487804878047,0.0902439024390235,0,0.181184668989545,0.631097560975609,0.528455284552844,0.417201540436458,0,0,0.646341463414634,0.397865853658536,0.207317073170732,0.345215759849906,0.158536585365852,0.097560975609756,0,0.0829268292682919,0,0,0,0.121951219512194,0.223577235772358,0.445121951219513,0.259146341463416,0.583079268292683,0.194444444444444,0.388211382113821,0.240418118466898,0.413414634146342,0.212860310421286,0.123693379790941,0.221794934901923,0.276422764227642,0,0.3130081300813,0.184451219512194,0.254763719512195,0.0612965340179712,0.25891181988743,0,0,0.25515947467167,0,0,0.10691056910569,0.436753359880539,0.631103993001958,0.397999999999999,0.382812500000001,0.103645833333333,0,0.119318181818182,0.260714285714286,0.156944444444445,0.570912077067677,0.344189311065334,0.470382873393044,0.737261499192107,0.558656293595619,0.174736295855807,0.494610126982412,0.244646366740127,0.21984644353327,0.0861224683932404,0.0861892992052019,0.156939042344734,0.328870651789968,0.250501623621115
