"filename","np_elaboration","verb_vac_frequency","determiners","vac_frequency","possessives"
"0.txt",0.319885683782838,0.482385750377092,0.709508033534133,0.375102239277217,0.285414774942577
"10.txt",0.435204081779848,0.219789472543886,0.689253301306565,0.398965491759775,0.195838312996392
"100.txt",0.301905752729391,0.626047661152028,0.326008436678936,0.554009029327777,0.311890546853479
"101.txt",0.635792144855456,0.635184748086795,0.43378541348779,0.517390132800699,0.453572683421519
"102.txt",0.5976870279452,0.577609636252122,0.314845596780065,0.590922289277801,0.276761567232168
"103.txt",0.344224670300054,0.449570862581145,0.596640446007258,0.354391965892842,0.0707857175314284
"104.txt",0.563342518666949,0.439106055828027,0.521544848920771,0.453372574922667,0.403657386232657
"105.txt",0.515109153025207,0.366650314583192,0.467681528643769,0.575708883620158,0.523005938320845
"106.txt",0.702892942490426,0.491461063529179,0.709515830237772,0.556855632651448,0.102942196760035
"107.txt",0.658975357741962,0.329353000391925,0.469216407827902,0.654409911814355,0.198925927526305
"108.txt",0.58804830023775,0.549633184915986,0.591922331278408,0.76806899167721,0.163787599200679
"109.txt",0.431193739529787,0.574282416123837,0.397543708551061,0.413133052063537,0.047417821435163
"11.txt",0.447951830819552,0.213153304871844,0.560948301360161,0.519372316209896,0.320052388277599
"110.txt",0.369994490897568,0.405351766222159,0.572658126888017,0.533798103402193,0.0957553714167884
"111.txt",0.410010569522677,0.591108496816294,0.458553136943746,0.435190512055029,0.237670500386166
"112.txt",0.504195082389946,0.492498125707456,0.495500290551647,0.568599498295876,0.222721484771218
"113.txt",0,0,0,0,0
"114.txt",0.465163943882173,0.646516462048919,0.626716797033007,0.629898109129421,0.114252919201216
"115.txt",0.556813551658129,0.646910274438068,0.274180604618736,0.591877823476575,0.0954237695319685
"116.txt",0.497522083344642,0.469786742769435,0.426115698777304,0.509018156375779,0.161817428405362
"117.txt",0.473051280180163,0.511789353094084,0.338060296644428,0.607781533466725,0.308921866251154
"118.txt",0.64839789158632,0.386781406695793,0.567094721408348,0.665558728863016,0.0407133368277211
"119.txt",0.79221275875835,0.0871325179293799,0.378908409017053,0.166699234421568,0
"12.txt",0.366346054304578,0.577218333699593,0.792030440293247,0.674244585652349,0.189098443123643
"120.txt",0.539989731742723,0.520796151551853,0.296098333824622,0.598273369382597,0.604976927458523
"121.txt",0.428681550663089,0.328049884885165,0.656001284217157,0.467483792306319,0.160359407078352
"122.txt",0.816572663383904,0.0800271086866782,0.431140428106123,0.618877900285976,0.338273475205856
"123.txt",0.4878467266114,0.463917617232417,0.542751066522451,0.570909312745275,0.545570274635068
"124.txt",0.732660989943512,0.35374532865621,0.413401254692582,0.872251162669879,0.105950252520906
