"filename","error_count","grammar","misspelling","A_INFINITVE","BEEN_PART_AGREEMENT","CONFUSION_OF_OUR_OUT","EN_A_VS_AN","EN_CONTRACTION_SPELLING","NON3PRS_VERB","NOW","SENTENCE_FRAGMENT","SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA"
"188.txt",0.129032258064516,0.285714285714286,0.127659574468085,0,0.5,0,0,0,0,0,0,0
"62.txt",0.145161290322581,0,0.191489361702128,0,0,0,0,0,0,0,0,0
"89.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"177.txt",0.112903225806452,0,0.148936170212766,0,0,0,0,0,0,0,0,0
"163.txt",0.580645161290323,0,0.25531914893617,0,0,0,0.333333333333333,0,0,0,0,0
"162.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"88.txt",0.516129032258065,0.714285714285714,0.234042553191489,0,0,0,0.333333333333333,0,0,0,0.5,0
"176.txt",0.0645161290322581,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
"63.txt",0.112903225806452,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"77.txt",0.161290322580645,0.142857142857143,0.170212765957447,0,0,0,0,0,0,0,0.5,0
"228.txt",0.241935483870968,0,0.25531914893617,0,0,0,0,0,0,0,0,0
"200.txt",0.919354838709677,0.142857142857143,0.276595744680851,0,0,0,0,0,0,0,0,0
"216.txt",0.370967741935484,0,0.404255319148936,0,0,0,0.333333333333333,1,0,0,0,0
"202.txt",0.258064516129032,0.142857142857143,0.319148936170213,0,0,0,0,0,0,0,0.5,0
"49.txt",0.209677419354839,0.142857142857143,0.191489361702128,0,0,0,0,0,0,0,0.5,0
"61.txt",0.0161290322580645,0,0,0,0,0,0,0,0,0,0,0
"75.txt",0.451612903225806,0.142857142857143,0.148936170212766,0,0,0,0,0,0,0,0,0
"160.txt",0.290322580645161,0.142857142857143,0.319148936170213,0,0,0,0,0,0,0,0,0
"174.txt",0.0967741935483871,0,0.127659574468085,0,0,0,0,0,0,0,0,0
"148.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"149.txt",0.0483870967741935,0,0.0638297872340425,0,0,0,0,0,0,0,0,0
"175.txt",0.032258064516129,0.142857142857143,0.0212765957446809,0,0,0,0,0,0,0,0.5,0
"161.txt",0.0806451612903226,0,0.106382978723404,0,0,0,0.333333333333333,1,0,0,0,0
"74.txt",0.17741935483871,0.142857142857143,0.212765957446809,0,0,0,0.666666666666667,0,0,0,0,0
"60.txt",0.0645161290322581,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
"48.txt",0,0,0,0,0,0,0,0,0,0,0,0
"217.txt",0.17741935483871,0.285714285714286,0.106382978723404,0,0,0,0,0,0,0,0,0
"207.txt",0.274193548387097,0.285714285714286,0.212765957446809,0,0,0,0,0,0,0,0,0
"64.txt",0.241935483870968,0,0.319148936170213,0,0,0,0,0,0,0,0,0
"70.txt",0.225806451612903,0.285714285714286,0.212765957446809,0,0,0,0,0,0,0,0.5,0
"58.txt",0.209677419354839,0,0.234042553191489,0,0,0,0.666666666666667,0,0,0,0,0.5
"159.txt",0.145161290322581,0.142857142857143,0.106382978723404,0,0.5,0,0,0,0,0,0,0
"165.txt",0.0161290322580645,0.142857142857143,0,0,0,0,0,0,0,0,0.5,0
"171.txt",0.0161290322580645,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"170.txt",0.112903225806452,0.142857142857143,0,0,0,0,0,0,0,0,0,0
"164.txt",0.209677419354839,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"158.txt",0.193548387096774,0.571428571428571,0.170212765957447,0,0,0,0,0,0,0,0,0
"59.txt",0.129032258064516,0,0.148936170212766,0,0,0,0,0,0,0,0,0
"71.txt",0.467741935483871,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"65.txt",0.274193548387097,0.571428571428571,0.212765957446809,0,0,0,0.333333333333333,0,0,0,0,0
"206.txt",0.161290322580645,0.142857142857143,0.191489361702128,0,0,0,0.333333333333333,0,0,0,0,0
"212.txt",0.0967741935483871,0.142857142857143,0.0638297872340425,0,0,0,0,0,0,0,0.5,0
"238.txt",0.564516129032258,0.857142857142857,0.297872340425532,0,0,0,0,0,0,0,0,0
"204.txt",0.193548387096774,0.285714285714286,0.212765957446809,0,0,0,0,0,0,0,0,0
"210.txt",0.580645161290323,0.142857142857143,0.191489361702128,0,0,0,0,0,0,0,0,0
"73.txt",0.225806451612903,0.142857142857143,0.25531914893617,0,0,0,0.333333333333333,0,0,0,0,0
"67.txt",0.241935483870968,0,0.276595744680851,0,0,0,0,0,0,0,0,0
"199.txt",0.129032258064516,0.285714285714286,0.127659574468085,0,0,0,0,0,0,0,0,0
"9.txt",0.0161290322580645,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"172.txt",0.419354838709677,0.285714285714286,0.191489361702128,0,0,0,0,0,0,0,0,0.5
"98.txt",0.274193548387097,0.285714285714286,0.319148936170213,0,0,0,0,0,0.5,0,0,0
"166.txt",0.129032258064516,0,0.170212765957447,0,0,0,0,0,0,0,0,0
"99.txt",0.32258064516129,0,0.148936170212766,0,0,0,0.333333333333333,0,0,0,0,0.5
"167.txt",0.0967741935483871,0.285714285714286,0.0638297872340425,0,0,0,0,0,0,0,0,0
