"filename","MLC","C_S","DC_C","CT_T","CP_C","CN_C"
"0.txt",0.122105576650964,0.0745967741935484,0.421621621621369,0.458333333333,0.297297297297,0.192841490138959
"10.txt",0.103305785123967,0.15053763440871,0.342857142856937,0.428571428571,0.357142857143,0.191119691119862
"100.txt",0.114784205693251,0.0645161290322581,0.45000000000018,0.5,0.541666666667,0.260135135135479
"101.txt",0.144222978447658,0.0783410138248387,0.705882352941882,0.857142857143,0.294117647059,0.419713831479226
"102.txt",0.127591706539118,0.0612903225806452,0.631578947369053,0.7,0.105263157895,0.539829302988454
"103.txt",0.106111621263085,0.0870967741935484,0.533333333333013,0.5,0.222222222222,0.31381381381454
"104.txt",0.143375907838843,0.0506912442396774,0.327272727272531,0.266666666667,0.0909090909091,0.628378378379162
"105.txt",0.104236467872865,0.0442054958183871,0.356756756756543,0.24,0.0810810810811,0.32542001460994
"106.txt",0.136316139450964,0.0668202764977419,0.413793103448566,0.5,0.172413793103,0.599720410067756
"107.txt",0.133608815426997,0.0691244239632258,0.480000000000192,0.611111111111,0.133333333333,0.668918918920185
"108.txt",0.0980716253443526,0.0733137829912903,0.528000000000211,0.769230769231,0.08,0.356756756757432
"109.txt",0.0937698664971074,0.0931899641577419,0.692307692307877,0.8,0.0769230769231,0.25727650727696
"11.txt",0.114431023521901,0.0698924731183871,0.461538461538185,0.285714285714,0.230769230769,0.37733887733966
"110.txt",0.109810223446556,0.0725806451612903,0.466666666666987,0.380952380952,0.166666666667,0.309684684685072
"111.txt",0.0964187327823692,0.103942652329677,0.496551724137799,0.6,0.172413793103,0.353681267475102
"112.txt",0.0993016849253444,0.0630498533725806,0.586046511627834,0.652173913043,0.139534883721,0.37335009428122
"113.txt",0.0742271196816804,0.580645161290323,0.466666666666987,0.333333333333,0.111111111111,0.297297297298008
"114.txt",0.118892272002342,0.0875576036867742,0.442105263158577,0.6,0.263157894737,0.399004267425958
