"filename","lexical_density_types","lexical_density_tokens","simple_ttr_aw","simple_ttr_cw","root_ttr_fw","mattr50_cw","hdd42_aw","hdd42_cw","hdd42_fw","mtld_original_aw","mtld_original_cw","mtld_ma_bi_aw","mtld_ma_bi_cw","mtld_ma_bi_fw"
"289.txt",0.544530577088717,0.442149968071564,0.468886941279579,0.62199000454339,0.606817756004679,0.651633724107354,0.558868781121071,0.836488374738554,0.784742660729239,0.365922708783708,0.212697204040928,0.359742220178461,0.0933668846796342,0.161190636738697
"262.txt",0.560780304966352,0.261940814984244,0.345496894409938,0.650159018627896,0.463551514068008,0.795725200284574,0.60772952201222,0.871935629165346,0.800535775597918,0.381193660088137,0.164503592930384,0.458469512057307,0.0903223123531244,0.220527382907252
"276.txt",0.500244430476989,0.585933395778052,0.463224893917963,0.46236559139785,0.875797105263835,0.627535298106414,0.763558492032779,0.801024696315487,0.918138905677232,0.594074112298132,0.146095543441899,0.584184773065688,0.389059062850486,0.448501790715833
"29.txt",0.864254952627046,0.757459070507543,0.201900237529691,0.238123167155425,0.695582476085967,0.663175935377365,0.790455359031311,0.87330167377258,0.814341157063721,0.651109376661345,0.212695756659724,0.569123726788097,0.506535733275811,0.325411164674965
"15.txt",0.476589147286822,0.416733864464729,0.24234693877551,0.316532258064516,0.585217459069248,0.547539931322227,0.558798113357959,0.772422525670585,0.819414140050686,0.471587011722596,0.105003456925279,0.410067928109919,0.29106757504527,0.299784122046803
"114.txt",0.429692866254538,0.390678362025018,0.350404312668464,0.442465093885412,0.52754717002798,0.538259423084193,0.519354697137221,0.765188423920809,0.794587707742928,0.283434108979084,0.0722965084399572,0.363674521288225,0.323102750755162,0.219585196037379
"100.txt",0.593163351078734,0.288018929363353,0.313790255986788,0.599620493358634,0.364632853907287,0.738406069614321,0.474806082540846,0.856077028349349,0.71797657287067,0.308806831046362,0.191153450125649,0.418894434664104,0,0.232168797025913
"128.txt",0.493865592382347,0.416733864464729,0.500637755102041,0.649865591397849,0.954844458603396,0.776546275449506,0.904167790319394,0.927637004626798,0.940567772214666,0.68273848155526,0.324886004927029,0.551908718626269,0,0.362693667129201
"129.txt",0.520074048362837,0.308003140093319,0.30757498729029,0.521889400921659,0.777960300475542,0.697111100309466,0.655750727158311,0.888809817071356,0.828223100607047,0.431927478711734,0.157534108129135,0.380396978719602,0.486319686287834,0.235750519599728
"101.txt",0.688324142891393,0.325882441484157,0.50125313283208,0.897148200093502,0.495433932512207,0.922224112509923,0.69589892523609,0.972287094034259,0.785815831278609,0.583256850696856,0.505694840472642,0.459352739873096,0,0.210407935379652
"115.txt",0.536537467700258,0.508720930232558,0.343045112781955,0.404394576905096,0.433907826725097,0.470681637745265,0.63242139969632,0.763690583878668,0.807774631330926,0.431134405322598,0.112688434885909,0.450191747794009,0.264771232374926,0.328473498793904
"14.txt",0.494573643410853,0.675660419959359,0.625,0.566532258064516,0.282795368541309,0.54209906997845,0.473896482811162,0,0,0.28204573197591,0.0455157113068804,0.224530575922307,0.107496822912923,0.1705280322481
"28.txt",0.893996755002704,0.515060404525981,0.452079566003617,0.767921146953405,0.24716639005596,0.805632399859954,0.727137148244464,0.924080334230746,0.725447089499547,0.362380876350098,0.323094536638701,0.389469978111165,0.085924596770388,0.17414004663803
"277.txt",0.706358283559961,0.632412383575223,0.136349550666254,0.160143369175627,0.798351091340524,0.585033303432418,0.77605755976592,0.802346162043253,0.919556591073813,0.654290279017359,0.116754904096251,0.538635447069155,0.375139214009342,0.460265654138493
"263.txt",0.245478036175711,0.328189032015789,0.251665433012583,0.257237386269644,0.664699917632955,0.290191753391762,0.431570088883039,0.682984114457078,0.835076657611735,0.256308020112436,0.0294652758937453,0.332298035978754,0.149761890742014,0.30774114590778
"288.txt",0.59115704852139,0.667881510566817,0.278969957081545,0.24972191323693,0.651614800007154,0.513043831539816,0.637120609569427,0.754566263599202,0.843574771529061,0.462001624466953,0.106516466784935,0.418030836871853,0.236641910238275,0.353359123842664
"275.txt",0.536537467700258,0.689931962388197,0.551181102362205,0.504032258064516,0.625110024107588,0.650069940644966,0.786053480346193,0.785201884473516,0.884555082461029,0.51696342004576,0.117793378038959,0.582081025939725,0.245054243702634,0.442857697495134
"261.txt",0.75577703949797,0.515625731655696,0.20973892637137,0.354257483289741,0.868475180778882,0.647953474010072,0.799163651433069,0.902940398735545,0.866378186642996,0.578075983232833,0.152436201751375,0.537744350853319,0.444401967566623,0.308422816259562
"249.txt",0.45439551377206,0.231088409581787,0.552560646900269,0.895698924731183,0.706854647308374,0.879499314341097,0.737783057154675,0.951977738047365,0.855648390385225,0.598909340124969,0.430518652928088,0.626297523988702,0,0.508053505376014
"16.txt",0.847346451997615,0.327105441408896,0.357142857142857,0.795698924731183,0.561952098914881,0.862265782306613,0.661901053132016,0.980844232392386,0.772449935218912,0.416613208809644,0.65529993735554,0.481263862360534,0,0.212892849267615
"103.txt",0.662266918080872,0.159058161895195,0.05175983436853,0.372275501307759,0.0633257222437558,0.439718725189974,0.195893282848507,0.759530502983024,0.652707067664621,0.115059906321501,0.0494159623820389,0.243422378516913,0.188650722305589,0.12758140947407
"117.txt",0.64262782867434,0.340014885058913,0.408163265306122,0.7134478424801,0.505368241150183,0.849819342503929,0.682773363179847,0.921345140316262,0.792246177588587,0.45453103068981,0.296863794202147,0.440383695635819,0,0.219068030347465
"116.txt",0.51092318534179,0.577981539742822,0.414884516680924,0.420171498570845,0.639777058710691,0.4792824467884,0.633809262339418,0.778050932502877,0.824110292699884,0.370303228169108,0.0755382136260062,0.340388747020221,0.186820830300481,0.3065774701002
"102.txt",0.728372093023256,0.589351568127815,0.561224489795918,0.729032258064516,0.599250973757315,0.764377467282779,0.866971753148463,0.908968536296176,0.862022225892481,0.629309980742322,0.324239085822911,0.571270944251617,0,0.209170282186517
"17.txt",0.674418604651163,0.479503938524034,0.398886827458256,0.585342937676167,0.652422368075457,0.779218597070474,0.741028344670342,0.876372178672426,0.843455562670757,0.487441478894337,0.304610578273173,0.535590296692186,0.0950583137499174,0.418932741766937
