filename,np_elaboration,verb_vac_frequency,nouns_as_modifiers,determiners,vac_frequency,association_strength,diversity_and_frequency,possessives,frequency
0.txt,0.31988568378283844,0.48238575037709247,0.29698382419120584,0.7095080335341335,0.3751022392772167,0.252385420397839,0.7388158739877025,0.2854147749425775,0.8532782143581097
10.txt,0.4352040817798479,0.21978947254388645,0.34474033834375534,0.6892533013065654,0.39896549175977514,0.32503354194376166,0.8336239754522664,0.19583831299639165,0.8159824085432217
100.txt,0.30190575272939146,0.6260476611520281,0.4810934695788439,0.3260084366789364,0.5540090293277773,0.3056795143366326,0.6830272564462359,0.3118905468534787,0.8994214013079648
101.txt,0.6357921448554555,0.635184748086795,0.45824782187800983,0.43378541348778965,0.5173901328006987,0.2608648898384841,0.7423015155893182,0.4535726834215189,0.9113158264368001
102.txt,0.5976870279452,0.5776096362521221,0.37905340221823053,0.31484559678006513,0.5909222892778009,0.07199684446640789,0.7525700672869201,0.27676156723216816,0.8981790450034443
103.txt,0.3442246703000536,0.4495708625811451,0.27431411134108125,0.5966404460072583,0.35439196589284205,0.19527529841885913,0.7650989824122874,0.07078571753142837,0.8302570259538785
104.txt,0.5633425186669493,0.4391060558280266,0.3398117189519112,0.5215448489207712,0.45337257492266736,0.23290406356621762,0.8220456416550486,0.40365738623265723,0.9018514377313757
105.txt,0.5151091530252074,0.3666503145831916,0.36951477166130214,0.4676815286437688,0.5757088836201579,0.29516076680021563,0.7854402860608687,0.5230059383208445,0.8790252981620211
106.txt,0.7028929424904259,0.4914610635291787,0.5026917909387766,0.7095158302377719,0.5568556326514477,0.17398062489403232,0.6987457225773712,0.10294219676003483,0.8821189018462885
107.txt,0.6589753577419618,0.3293530003919252,0.3370818746712872,0.4692164078279017,0.6544099118143548,0.2574723491147096,0.7531558569145224,0.19892592752630503,0.8252807591886644
108.txt,0.5880483002377501,0.5496331849159865,0.4198498410747644,0.5919223312784083,0.7680689916772101,0.08568167257326278,0.6443055927318007,0.16378759920067862,0.9373387074674103
109.txt,0.4311937395297869,0.5742824161238375,0.4145963460276533,0.39754370855106136,0.413133052063537,0.2267805019356849,0.7245660699206594,0.04741782143516304,0.9068745006221237
11.txt,0.44795183081955253,0.21315330487184375,0.3782178395499125,0.5609483013601607,0.5193723162098964,0.26916864093011805,0.870574511510464,0.3200523882775988,0.845500947036692
110.txt,0.36999449089756825,0.4053517662221589,0.28717615947055425,0.572658126888017,0.5337981034021934,0.30907562397019944,0.7309918500979595,0.09575537141678844,0.8628323174056306
111.txt,0.41001056952267717,0.5911084968162936,0.42844647509460787,0.4585531369437463,0.4351905120550288,0.26147230138205396,0.7461191168709038,0.23767050038616605,0.8555035289874451
112.txt,0.5041950823899458,0.4924981257074556,0.4840756450098852,0.4955002905516467,0.5685994982958764,0.2631286043293572,0.6626738593433362,0.22272148477121814,0.9165522024672594
113.txt,0.0,0.0,0.0,0.0,0.0,0.15709705265391033,0.0,0.0,0.0
114.txt,0.46516394388217275,0.6465164620489192,0.5448572319569573,0.6267167970330071,0.6298981091294208,0.24230596534319726,0.7371904508456288,0.11425291920121625,0.9143054415609089
115.txt,0.5568135516581291,0.6469102744380681,0.36322869907711597,0.2741806046187358,0.5918778234765748,0.24324718112191354,0.646795657639411,0.09542376953196854,0.9161152721639509
116.txt,0.497522083344642,0.4697867427694347,0.42663850014948407,0.4261156987773041,0.5090181563757794,0.6851956722525177,0.668140179261101,0.16181742840536179,0.8823849836449043
117.txt,0.47305128018016296,0.5117893530940839,0.5022263671260445,0.338060296644428,0.607781533466725,0.34309176053682255,0.7368631860549811,0.30892186625115436,0.9053218703330695
118.txt,0.6483978915863202,0.3867814066957934,0.4981525548211431,0.5670947214083476,0.6655587288630158,0.22045390779097285,0.8683757208073369,0.040713336827721075,0.80648091871891
119.txt,0.7922127587583503,0.08713251792937993,0.16432983858796432,0.37890840901705286,0.16669923442156775,0.32372393686743123,0.9208416592426986,0.0,0.7300055800537096
12.txt,0.3663460543045777,0.577218333699593,0.43622982092749363,0.7920304402932471,0.6742445856523486,0.5955054117860479,0.5450645115382892,0.18909844312364324,0.9854296927318027
120.txt,0.5399897317427231,0.5207961515518529,0.36340876200796596,0.29609833382462203,0.5982733693825973,0.15427314181008123,0.6951584097696121,0.6049769274585232,0.8685347308941157
121.txt,0.4286815506630888,0.32804988488516496,0.4170676027884273,0.6560012842171566,0.467483792306319,0.36271115173398577,0.7482866909151111,0.16035940707835167,0.809917715236939
122.txt,0.8165726633839038,0.08002710868667823,0.5241711033058719,0.4311404281061227,0.618877900285976,0.42541491849487834,0.8302958252094481,0.3382734752058557,0.6752489520228164
123.txt,0.4878467266114004,0.46391761723241715,0.43713599412958487,0.542751066522451,0.5709093127452749,0.21370162382855787,0.7724243735279979,0.5455702746350682,0.8687878159326609
124.txt,0.7326609899435119,0.35374532865620995,0.5593296720107415,0.4134012546925822,0.8722511626698788,0.34738897689792325,0.8726973919609603,0.10595025252090631,0.8857289783159876
125.txt,0.6373279888425517,0.3208674099269018,0.4364914031256096,0.35665323040023583,0.5512177158560334,0.24266141635987243,0.7794163902856576,0.3130932681592077,0.8325126880775361
127.txt,0.3027905392887867,0.19311075740021633,0.32060118086373374,0.9368161725124451,0.326996019611294,0.22278269687698057,0.8650823977899027,0.18440472532699764,0.85438449413462
128.txt,0.437598747466053,0.34319302816346753,0.384598135490979,0.5584099564327496,0.5073249545446409,0.2828436725755282,0.7637171631752949,0.2442260981960962,0.8487072313361184
129.txt,0.32761150551858154,0.34752863596404215,0.2972082349792666,0.5611267945675453,0.5076288221576748,0.2969884579540131,0.7377032112047729,0.24651865543035587,0.886608932653203
13.txt,0.3210395382742869,0.6685292034738244,0.370413309155129,0.2028673932368488,0.687913813333725,0.30572518682206645,0.6522689039848186,0.5556256657110814,0.9552981788818606
130.txt,0.6543133869694281,0.5303573900493136,0.48205064965454325,0.6952966953708697,0.7361474879587234,0.13585731196390277,0.6669540570840438,0.2942429700895785,0.88194932455826
131.txt,0.7774680700997167,0.8379367721694944,0.6987609592022735,0.04611617641001725,0.6573088531736322,0.28368831713996173,0.8638864461031854,0.7989832617541155,0.8654911292433112
132.txt,0.4247669682990964,0.37766728706794056,0.3894706747815249,0.3332388359238255,0.7543456697917622,0.28306705595511295,0.7535416429138387,0.47439452378577485,0.8511610972557173
133.txt,0.7965170071712966,0.308011773320378,0.35726432111348905,0.4502271675275674,0.4975547255943203,0.22517734578936094,0.8252806354695478,0.3061821673096731,0.7550087348079371
